bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,handedness_tags
fcc21ace,A Kamboj,99,10.36,16.5,6.0,82,8.12,41.0,2.0,2.24,"RHB_SPECIALIST, LHB_VULNERABLE"
6b19d823,A Mishra,181,7.23,16.45,11.0,637,7.71,20.55,31.0,-0.47999999999999954,
96fd40ae,A Nehra,72,9.08,72.0,1.0,256,7.92,11.13,23.0,1.1600000000000001,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
acdc62f5,A Nortje,325,10.87,23.21,14.0,421,9.49,16.84,25.0,1.379999999999999,"RHB_SPECIALIST, LHB_VULNERABLE"
14f96089,A Zampa,103,8.85,34.33,3.0,169,9.23,13.0,13.0,-0.3800000000000008,RHB_PRESSURE
bbd41817,AD Russell,293,11.3,11.72,25.0,698,9.27,11.63,60.0,2.030000000000001,"RHB_SPECIALIST, LHB_VULNERABLE"
7c7d63a2,AJ Tye,115,9.39,10.45,11.0,247,7.92,20.58,12.0,1.4700000000000006,"RHB_SPECIALIST, LHB_VULNERABLE"
6a26221c,AK Markram,89,6.74,29.67,3.0,74,10.22,37.0,2.0,-3.4800000000000004,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
2e171977,AR Patel,446,8.87,27.88,16.0,1219,6.84,29.73,41.0,2.0299999999999994,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
b0946605,AS Joseph,133,9.52,19.0,7.0,239,10.59,47.8,5.0,-1.0700000000000003,"LHB_SPECIALIST, RHB_VULNERABLE"
db31895a,AS Rajpoot,78,8.85,26.0,3.0,158,11.32,22.57,7.0,-2.4700000000000006,"LHB_SPECIALIST, RHB_VULNERABLE"
0a67aec0,Akash Deep,117,11.08,16.71,7.0,112,12.54,37.33,3.0,-1.459999999999999,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
4bd09374,Akash Madhwal,67,9.04,13.4,5.0,212,10.56,15.14,14.0,-1.5200000000000014,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
b483905d,Akash Singh,64,9.47,32.0,2.0,87,8.76,17.4,5.0,0.7100000000000009,LHB_PRESSURE
244048f6,Arshdeep Singh,487,9.43,14.32,34.0,760,8.78,15.51,49.0,0.6500000000000004,
eef2536f,Avesh Khan,376,9.02,19.79,19.0,716,9.17,15.57,46.0,-0.15000000000000036,
8f6dd463,Azmatullah Omarzai,99,9.52,14.14,7.0,147,9.55,36.75,4.0,-0.030000000000001137,
2e81a32d,B Kumar,692,9.16,27.68,25.0,1218,8.29,19.33,63.0,0.870000000000001,RHB_PRESSURE
e087956b,BA Stokes,106,7.92,17.67,6.0,200,8.88,25.0,8.0,-0.9600000000000009,LHB_PRESSURE
871e9faf,Basil Thampi,91,10.15,91.0,1.0,166,9.0,18.44,9.0,1.1500000000000004,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
eaa76d3c,C Green,147,9.27,29.4,5.0,199,8.74,19.9,10.0,0.5299999999999994,
2cdce1be,C Sakariya,124,10.65,62.0,2.0,177,7.93,16.09,11.0,2.7200000000000006,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
fb66ce1f,CH Morris,144,8.42,12.0,12.0,440,8.74,19.13,23.0,-0.3200000000000003,
ffe699c0,CJ Jordan,99,7.88,19.8,5.0,244,11.24,30.5,8.0,-3.3600000000000003,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
4c5d73db,CR Woakes,69,10.26,23.0,3.0,122,9.1,24.4,5.0,1.1600000000000001,"RHB_SPECIALIST, LHB_VULNERABLE"
5b7ab5a9,CV Varun,447,7.52,21.29,21.0,928,7.8,18.56,50.0,-0.28000000000000025,
87e562a9,DJ Bravo,329,7.99,18.28,18.0,674,8.85,16.85,40.0,-0.8599999999999994,
73ad96ed,DJ Hooda,89,9.3,44.5,2.0,68,8.65,68.0,1.0,0.6500000000000004,
7f048519,DJ Willey,68,6.26,17.0,4.0,68,7.32,,0.0,-1.0600000000000005,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
23eeb873,DL Chahar,381,8.46,16.57,23.0,816,8.91,25.5,32.0,-0.4499999999999993,LHB_PRESSURE
caf69bf7,DR Sams,114,8.53,28.5,4.0,161,10.06,32.2,5.0,-1.5300000000000011,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
d2a989fc,DS Kulkarni,137,10.6,17.13,8.0,335,8.06,17.63,19.0,2.539999999999999,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
13fc5c6d,DS Rathi,127,8.22,18.14,7.0,172,8.27,28.67,6.0,-0.049999999999998934,LHB_PRESSURE
2a2e6343,DT Christian,92,9.78,11.5,8.0,157,8.94,26.17,6.0,0.8399999999999999,
8fd1a8f5,DW Steyn,72,8.17,24.0,3.0,270,7.91,24.55,11.0,0.2599999999999998,
e9c7f0d0,Fazalhaq Farooqi,65,11.63,32.5,2.0,125,10.37,125.0,1.0,1.2600000000000016,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
3204c99f,G Coetzee,96,10.94,19.2,5.0,143,10.95,20.43,7.0,-0.009999999999999787,
b681e71e,GJ Maxwell,298,7.99,19.87,15.0,241,7.69,26.78,9.0,0.2999999999999998,
dbe50b21,HH Pandya,317,8.97,17.61,18.0,620,9.67,18.79,33.0,-0.6999999999999993,
0c9652b0,HR Shokeen,74,7.3,37.0,2.0,102,11.0,34.0,3.0,-3.7,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
f986ca1a,HV Patel,537,10.15,17.32,31.0,849,8.95,13.27,64.0,1.200000000000001,"RHB_SPECIALIST, LHB_VULNERABLE"
8b5b6769,Harbhajan Singh,221,7.09,24.56,9.0,517,7.75,28.72,18.0,-0.6600000000000001,LHB_PRESSURE
c05edf8e,Harpreet Brar,139,8.2,17.38,8.0,404,8.23,25.25,16.0,-0.030000000000001137,
77b1aa15,Harshit Rana,179,9.99,17.9,10.0,332,9.92,15.09,22.0,0.07000000000000028,LHB_PRESSURE
5bb1a1c4,I Sharma,221,9.99,18.42,12.0,531,8.72,27.95,19.0,1.2699999999999996,"RHB_SPECIALIST, LHB_VULNERABLE"
acee4cc4,Imran Tahir,190,8.31,13.57,14.0,374,6.61,20.78,18.0,1.7000000000000002,"RHB_SPECIALIST, LHB_VULNERABLE"
81049310,J Yadav,65,6.46,32.5,2.0,105,6.97,105.0,1.0,-0.5099999999999998,
5574750c,JC Archer,252,8.9,19.38,13.0,508,8.09,24.19,21.0,0.8100000000000005,
1e66c162,JD Unadkat,339,8.81,19.94,17.0,670,9.07,19.71,34.0,-0.2599999999999998,LHB_PRESSURE
462411b3,JJ Bumrah,546,6.4,10.92,50.0,1168,7.59,17.97,65.0,-1.1899999999999995,"LHB_SPECIALIST, RHB_VULNERABLE"
0f721006,JO Holder,221,10.02,22.1,10.0,313,9.35,15.65,20.0,0.6699999999999999,
808f425a,JP Faulkner,83,10.63,41.5,2.0,151,9.5,11.62,13.0,1.1300000000000008,"RHB_SPECIALIST, LHB_VULNERABLE"
03806cf8,JR Hazlewood,249,10.46,14.65,17.0,437,8.16,15.07,29.0,2.3000000000000007,"RHB_SPECIALIST, LHB_VULNERABLE"
90de905a,K Gowtham,169,8.41,24.14,7.0,169,9.91,42.25,4.0,-1.5,"LHB_SPECIALIST, RHB_VULNERABLE"
e62dd25d,K Rabada,456,9.47,21.71,21.0,707,8.48,14.14,50.0,0.9900000000000002,RHB_PRESSURE
a757b0d8,KA Pollard,121,10.41,20.17,6.0,277,9.25,23.08,12.0,1.1600000000000001,"RHB_SPECIALIST, LHB_VULNERABLE"
5b8c830e,KH Pandya,360,8.47,18.95,19.0,1039,6.93,33.52,31.0,1.540000000000001,"RHB_SPECIALIST, LHB_VULNERABLE"
