bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,strike_rate_diff,lhb_wickets_per_ball,rhb_wickets_per_ball,wickets_per_ball_diff,handedness_tags
fcc21ace,A Kamboj,99,10.36,16.5,6.0,85,7.84,42.5,2.0,2.5199999999999996,-26.0,0.06060606060606061,0.023529411764705882,0.037076648841354726,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
acdc62f5,A Nortje,136,13.32,34.0,4.0,189,10.57,17.18,11.0,2.75,16.82,0.029411764705882353,0.0582010582010582,-0.028789293495175845,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
bbd41817,AD Russell,86,12.35,14.33,6.0,198,10.61,7.92,25.0,1.7400000000000002,6.41,0.06976744186046512,0.12626262626262627,-0.056495184402161155,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
2e171977,AR Patel,196,8.94,24.5,8.0,428,7.75,30.57,14.0,1.1899999999999995,-6.07,0.04081632653061224,0.03271028037383177,0.00810604615678047,"RHB_SPECIALIST, LHB_VULNERABLE"
b0946605,AS Joseph,85,11.29,28.33,3.0,90,10.33,45.0,2.0,0.9599999999999991,-16.67,0.03529411764705882,0.022222222222222223,0.0130718954248366,
0a67aec0,Akash Deep,78,11.62,26.0,3.0,68,13.68,34.0,2.0,-2.0600000000000005,-8.0,0.038461538461538464,0.029411764705882353,0.009049773755656111,"LHB_SPECIALIST, RHB_VULNERABLE"
4bd09374,Akash Madhwal,67,9.04,13.4,5.0,195,10.71,15.0,13.0,-1.6700000000000017,-1.5999999999999996,0.07462686567164178,0.06666666666666667,0.007960199004975119,"LHB_SPECIALIST, RHB_VULNERABLE"
b483905d,Akash Singh,64,9.47,32.0,2.0,73,7.81,14.6,5.0,1.660000000000001,17.4,0.03125,0.0684931506849315,-0.0372431506849315,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
244048f6,Arshdeep Singh,308,10.17,13.39,23.0,442,9.35,16.37,27.0,0.8200000000000003,-2.9800000000000004,0.07467532467532467,0.06108597285067873,0.013589351824645941,
eef2536f,Avesh Khan,217,9.59,24.11,9.0,416,10.1,18.91,22.0,-0.5099999999999998,5.199999999999999,0.041474654377880185,0.052884615384615384,-0.011409961006735199,
8f6dd463,Azmatullah Omarzai,95,9.6,13.57,7.0,145,9.64,36.25,4.0,-0.040000000000000924,-22.68,0.07368421052631578,0.027586206896551724,0.04609800362976406,LHB_WICKET_TAKER
2e81a32d,B Kumar,345,9.79,26.54,13.0,408,9.56,15.69,26.0,0.22999999999999865,10.85,0.03768115942028986,0.06372549019607843,-0.02604433077578857,RHB_WICKET_TAKER
eaa76d3c,C Green,147,9.27,29.4,5.0,194,9.34,21.56,9.0,-0.07000000000000028,7.84,0.034013605442176874,0.04639175257731959,-0.012378147135142716,
5b7ab5a9,CV Varun,231,8.03,23.1,10.0,492,7.9,16.97,29.0,0.129999999999999,6.130000000000003,0.04329004329004329,0.05894308943089431,-0.015653046140851022,
23eeb873,DL Chahar,169,8.31,15.36,11.0,268,9.45,33.5,8.0,-1.1399999999999988,-18.14,0.0650887573964497,0.029850746268656716,0.035238011127792984,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
13fc5c6d,DS Rathi,127,8.22,18.14,7.0,165,8.47,27.5,6.0,-0.25,-9.36,0.05511811023622047,0.03636363636363636,0.01875447387258411,
3204c99f,G Coetzee,96,10.94,19.2,5.0,134,11.19,19.14,7.0,-0.25,0.05999999999999872,0.052083333333333336,0.05223880597014925,-0.00015547263681591622,
b681e71e,GJ Maxwell,134,8.87,19.14,7.0,71,8.11,11.83,6.0,0.7599999999999998,7.3100000000000005,0.05223880597014925,0.08450704225352113,-0.03226823628337187,RHB_WICKET_TAKER
dbe50b21,HH Pandya,198,9.76,22.0,9.0,282,10.15,17.63,16.0,-0.39000000000000057,4.370000000000001,0.045454545454545456,0.05673758865248227,-0.011283043197936812,
f986ca1a,HV Patel,265,10.64,13.25,20.0,442,9.99,15.79,28.0,0.6500000000000004,-2.539999999999999,0.07547169811320754,0.06334841628959276,0.012123281823614787,
