team_name,player_name,player_id,role,bowling_type,batting_hand,ipl_batting_innings,ipl_batting_balls,ipl_batting_runs,ipl_batting_sr,ipl_batting_avg,ipl_boundary_pct,ipl_bowling_matches,ipl_bowling_balls,ipl_bowling_wickets,ipl_bowling_economy,ipl_bowling_avg,ipl_dot_ball_pct,batting_sample_size,bowling_sample_size
Chennai Super Kings,MS Dhoni,4a8a2e3b,Wicketkeeper,Medium,Right-hand,241,3935.0,5439.0,138.22,39.13,16.24,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Chennai Super Kings,Sanju Samson,a4cc73aa,Wicketkeeper,Medium,Right-hand,171,3368.0,4704.0,139.67,31.78,17.76,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Chennai Super Kings,Shivam Dube,a4e37e47,All-rounder,Medium,Left-hand,75,1290.0,1859.0,144.11,30.98,17.83,15,124.0,5.0,10.79,44.6,19.35,HIGH,MEDIUM
Chennai Super Kings,Ruturaj Gaikwad,45a43fe2,Batter,Medium,Right-hand,70,1811.0,2502.0,138.16,41.7,18.0,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Chennai Super Kings,Kartik Sharma,119678fd,Wicketkeeper,Medium,Right-hand,40,295.0,352.0,119.32,14.67,12.54,87,1585.0,83.0,8.57,27.27,31.99,MEDIUM,HIGH
Chennai Super Kings,Sarfaraz Khan,f088b960,Batter,Leg-spin,Right-hand,36,444.0,585.0,131.76,22.5,17.34,1,2.0,0.0,18.0,0.0,0.0,MEDIUM,LOW
Chennai Super Kings,Gurjapneet Singh,6eb146d2,Bowler,Fast,Left-hand,32,422.0,511.0,121.09,21.29,15.64,6,78.0,5.0,7.46,19.4,33.33,MEDIUM,MEDIUM
Chennai Super Kings,Rahul Chahar,2ed569a0,Bowler,Leg-spin,Right-hand,22,124.0,129.0,104.03,8.6,14.52,78,1670.0,75.0,7.81,28.99,34.49,MEDIUM,HIGH
Chennai Super Kings,Shreyas Gopal,7a8bd078,Bowler,Leg-spin,Right-hand,22,169.0,180.0,106.51,15.0,12.43,51,991.0,52.0,8.22,26.12,31.99,MEDIUM,HIGH
Chennai Super Kings,Dewald Brevis,844e79d1,All-rounder,Off-spin,Right-hand,16,297.0,455.0,153.2,28.44,21.21,1,3.0,1.0,16.0,8.0,33.33,MEDIUM,LOW
Chennai Super Kings,Aman Khan,eef2536f,All-rounder,Off-spin,Left-hand,13,37.0,62.0,167.57,31.0,27.03,75,1619.0,87.0,9.25,28.7,35.08,LOW,HIGH
Chennai Super Kings,Noor Ahmad,efc04be7,Bowler,Left-arm wrist spin,Left-hand,11,35.0,20.0,57.14,2.5,5.71,37,792.0,48.0,8.24,22.67,34.47,LOW,HIGH
Chennai Super Kings,Ayush Mhatre,b2b4f545,Batter,Medium,Right-hand,7,127.0,240.0,188.98,34.29,33.07,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,UNCAPPED
Chennai Super Kings,Matthew Short,a90e53ec,All-rounder,Off-spin,Right-hand,6,92.0,117.0,127.17,19.5,20.65,3,24.0,0.0,6.25,0.0,45.83,LOW,LOW
Chennai Super Kings,Khaleel Ahmed,a2f46292,Bowler,Fast,Left-hand,6,9.0,2.0,22.22,0.4,0.0,71,1556.0,89.0,9.15,26.65,41.32,LOW,HIGH
Chennai Super Kings,Anshul Kamboj,fcc21ace,Bowler,Fast,Right-hand,6,14.0,16.0,114.29,8.0,14.29,11,189.0,10.0,9.14,28.8,39.15,LOW,MEDIUM
