batter_id,batter_name,bowling_type,balls,runs,dismissals,fours,sixes,dots,strike_rate,average,dot_pct,boundary_pct
872b03f7,A Badoni,Fast,292,426.0,13.0,38.0,16.0,94.0,145.89,32.77,32.19,18.49
872b03f7,A Badoni,Left-arm orthodox,36,57.0,1.0,6.0,2.0,9.0,158.33,57.0,25.0,22.22
872b03f7,A Badoni,Left-arm pace,15,26.0,2.0,2.0,2.0,5.0,173.33,13.0,33.33,26.67
872b03f7,A Badoni,Left-arm wrist spin,20,20.0,1.0,0.0,0.0,5.0,100.0,20.0,25.0,0.0
872b03f7,A Badoni,Leg-spin,52,65.0,3.0,2.0,3.0,12.0,125.0,21.67,23.08,9.62
872b03f7,A Badoni,Medium,15,30.0,1.0,2.0,2.0,4.0,200.0,30.0,26.67,26.67
872b03f7,A Badoni,Off-spin,50,54.0,3.0,3.0,2.0,16.0,108.0,18.0,32.0,10.0
872b03f7,A Badoni,Right-arm leg-spin,7,4.0,1.0,0.0,0.0,3.0,57.14,4.0,42.86,0.0
872b03f7,A Badoni,Right-arm off-spin,37,59.0,0.0,3.0,2.0,7.0,159.46,,18.92,13.51
872b03f7,A Badoni,Right-arm pace,36,55.0,2.0,6.0,2.0,12.0,152.78,27.5,33.33,22.22
fcc21ace,A Kamboj,Fast,9,7.0,1.0,0.0,0.0,4.0,77.78,7.0,44.44,0.0
fcc21ace,A Kamboj,Leg-spin,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0
fcc21ace,A Kamboj,Right-arm pace,4,9.0,0.0,2.0,0.0,1.0,225.0,,25.0,50.0
0890552f,A Manohar,Fast,69,90.0,6.0,2.0,8.0,29.0,130.43,15.0,42.03,14.49
0890552f,A Manohar,Left-arm orthodox,26,19.0,0.0,0.0,1.0,12.0,73.08,,46.15,3.85
0890552f,A Manohar,Left-arm pace,4,4.0,0.0,0.0,0.0,1.0,100.0,,25.0,0.0
0890552f,A Manohar,Left-arm wrist spin,19,13.0,1.0,0.0,0.0,7.0,68.42,13.0,36.84,0.0
0890552f,A Manohar,Leg-spin,7,4.0,1.0,0.0,0.0,3.0,57.14,4.0,42.86,0.0
0890552f,A Manohar,Medium,3,4.0,1.0,1.0,0.0,2.0,133.33,4.0,66.67,33.33
0890552f,A Manohar,Off-spin,2,1.0,0.0,0.0,0.0,1.0,50.0,,50.0,0.0
0890552f,A Manohar,Right-arm leg-spin,20,28.0,3.0,2.0,2.0,8.0,140.0,9.33,40.0,20.0
0890552f,A Manohar,Right-arm pace,10,21.0,1.0,4.0,0.0,2.0,210.0,21.0,20.0,40.0
b2b4f545,A Mhatre,Fast,95,171.0,7.0,26.0,6.0,35.0,180.0,24.43,36.84,33.68
b2b4f545,A Mhatre,Left-arm orthodox,14,17.0,0.0,1.0,1.0,5.0,121.43,,35.71,14.29
b2b4f545,A Mhatre,Leg-spin,8,12.0,0.0,1.0,0.0,1.0,150.0,,12.5,12.5
b2b4f545,A Mhatre,Medium,10,40.0,0.0,3.0,4.0,0.0,400.0,,0.0,70.0
6b19d823,A Mishra,Fast,18,17.0,1.0,2.0,0.0,7.0,94.44,17.0,38.89,11.11
6b19d823,A Mishra,Left-arm orthodox,1,1.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0
6b19d823,A Mishra,Leg-spin,5,0.0,0.0,0.0,0.0,5.0,0.0,,100.0,0.0
6b19d823,A Mishra,Medium,6,1.0,0.0,0.0,0.0,5.0,16.67,,83.33,0.0
acdc62f5,A Nortje,Fast,18,23.0,2.0,3.0,0.0,5.0,127.78,11.5,27.78,16.67
acdc62f5,A Nortje,Left-arm pace,6,9.0,0.0,2.0,0.0,3.0,150.0,,50.0,33.33
acdc62f5,A Nortje,Leg-spin,3,1.0,0.0,0.0,0.0,2.0,33.33,,66.67,0.0
acdc62f5,A Nortje,Off-spin,2,1.0,0.0,0.0,0.0,1.0,50.0,,50.0,0.0
acdc62f5,A Nortje,Right-arm pace,8,7.0,2.0,1.0,0.0,4.0,87.5,3.5,50.0,12.5
d7017798,A Raghuvanshi,Fast,142,208.0,10.0,24.0,7.0,49.0,146.48,20.8,34.51,21.83
d7017798,A Raghuvanshi,Left-arm orthodox,43,53.0,2.0,4.0,1.0,9.0,123.26,26.5,20.93,11.63
d7017798,A Raghuvanshi,Left-arm pace,8,10.0,0.0,2.0,0.0,4.0,125.0,,50.0,25.0
d7017798,A Raghuvanshi,Left-arm wrist spin,9,6.0,1.0,0.0,0.0,4.0,66.67,6.0,44.44,0.0
d7017798,A Raghuvanshi,Leg-spin,51,77.0,1.0,11.0,0.0,9.0,150.98,77.0,17.65,21.57
d7017798,A Raghuvanshi,Medium,12,23.0,1.0,1.0,2.0,4.0,191.67,23.0,33.33,25.0
d7017798,A Raghuvanshi,Off-spin,17,19.0,0.0,1.0,0.0,2.0,111.76,,11.76,5.88
d7017798,A Raghuvanshi,Right-arm off-spin,19,23.0,0.0,1.0,1.0,6.0,121.05,,31.58,10.53
d7017798,A Raghuvanshi,Right-arm pace,18,44.0,1.0,2.0,5.0,5.0,244.44,44.0,27.78,38.89
14f96089,A Zampa,Fast,2,2.0,1.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0
14f96089,A Zampa,Left-arm wrist spin,2,1.0,0.0,0.0,0.0,1.0,50.0,,50.0,0.0
14f96089,A Zampa,Leg-spin,3,2.0,0.0,0.0,0.0,1.0,66.67,,33.33,0.0
14f96089,A Zampa,Medium,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0
14f96089,A Zampa,Right-arm off-spin,5,2.0,0.0,0.0,0.0,3.0,40.0,,60.0,0.0
14f96089,A Zampa,Right-arm pace,3,3.0,1.0,0.0,0.0,0.0,100.0,3.0,0.0,0.0
2d140b79,AA Kulkarni,Fast,7,9.0,1.0,2.0,0.0,4.0,128.57,9.0,57.14,28.57
2d140b79,AA Kulkarni,Right-arm pace,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0
bbd41817,AD Russell,Fast,181,329.0,13.0,29.0,23.0,62.0,181.77,25.31,34.25,28.73
bbd41817,AD Russell,Left-arm orthodox,30,39.0,0.0,3.0,3.0,16.0,130.0,,53.33,20.0
bbd41817,AD Russell,Left-arm pace,9,5.0,0.0,0.0,0.0,5.0,55.56,,55.56,0.0
bbd41817,AD Russell,Left-arm wrist spin,14,18.0,1.0,2.0,1.0,7.0,128.57,18.0,50.0,21.43
bbd41817,AD Russell,Leg-spin,66,89.0,6.0,3.0,10.0,37.0,134.85,14.83,56.06,19.7
bbd41817,AD Russell,Medium,4,2.0,1.0,0.0,0.0,2.0,50.0,2.0,50.0,0.0
bbd41817,AD Russell,Off-spin,10,17.0,1.0,1.0,2.0,6.0,170.0,17.0,60.0,30.0
bbd41817,AD Russell,Right-arm leg-spin,10,16.0,1.0,2.0,1.0,5.0,160.0,16.0,50.0,30.0
bbd41817,AD Russell,Right-arm off-spin,15,23.0,0.0,0.0,3.0,8.0,153.33,,53.33,20.0
bbd41817,AD Russell,Right-arm pace,31,58.0,2.0,6.0,4.0,12.0,187.1,29.0,38.71,32.26
4d7f517e,AJ Hosein,Fast,10,16.0,0.0,1.0,1.0,3.0,160.0,,30.0,20.0
ff1e12a0,AJ Turner,Fast,3,1.0,0.0,0.0,0.0,2.0,33.33,,66.67,0.0
ff1e12a0,AJ Turner,Off-spin,7,15.0,1.0,0.0,2.0,2.0,214.29,15.0,28.57,28.57
ff1e12a0,AJ Turner,Right-arm off-spin,1,1.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0
ff1e12a0,AJ Turner,Right-arm pace,7,4.0,1.0,0.0,0.0,3.0,57.14,4.0,42.86,0.0
6a26221c,AK Markram,Fast,311,417.0,17.0,43.0,14.0,117.0,134.08,24.53,37.62,18.33
6a26221c,AK Markram,Left-arm orthodox,82,99.0,6.0,5.0,3.0,21.0,120.73,16.5,25.61,9.76
6a26221c,AK Markram,Left-arm pace,19,21.0,0.0,2.0,0.0,5.0,110.53,,26.32,10.53
6a26221c,AK Markram,Left-arm wrist spin,21,15.0,1.0,0.0,0.0,8.0,71.43,15.0,38.1,0.0
6a26221c,AK Markram,Leg-spin,48,81.0,2.0,4.0,7.0,14.0,168.75,40.5,29.17,22.92
6a26221c,AK Markram,Medium,21,32.0,1.0,3.0,1.0,3.0,152.38,32.0,14.29,19.05
6a26221c,AK Markram,Off-spin,69,90.0,2.0,6.0,3.0,17.0,130.43,45.0,24.64,13.04
6a26221c,AK Markram,Right-arm leg-spin,14,22.0,0.0,0.0,1.0,2.0,157.14,,14.29,7.14
6a26221c,AK Markram,Right-arm off-spin,40,53.0,2.0,5.0,1.0,11.0,132.5,26.5,27.5,15.0
6a26221c,AK Markram,Right-arm pace,37,64.0,2.0,5.0,3.0,6.0,172.97,32.0,16.22,21.62
29e95537,AM Rahane,Fast,262,417.0,10.0,47.0,20.0,107.0,159.16,41.7,40.84,25.57
29e95537,AM Rahane,Left-arm orthodox,78,83.0,7.0,6.0,1.0,23.0,106.41,11.86,29.49,8.97
29e95537,AM Rahane,Left-arm pace,21,49.0,0.0,3.0,4.0,6.0,233.33,,28.57,33.33
29e95537,AM Rahane,Left-arm wrist spin,17,15.0,0.0,0.0,0.0,2.0,88.24,,11.76,0.0
29e95537,AM Rahane,Leg-spin,79,94.0,4.0,8.0,1.0,20.0,118.99,23.5,25.32,11.39
29e95537,AM Rahane,Medium,19,46.0,0.0,6.0,2.0,2.0,242.11,,10.53,42.11
29e95537,AM Rahane,Off-spin,40,58.0,2.0,2.0,3.0,6.0,145.0,29.0,15.0,12.5
29e95537,AM Rahane,Right-arm leg-spin,32,48.0,2.0,5.0,1.0,7.0,150.0,24.0,21.88,18.75
29e95537,AM Rahane,Right-arm off-spin,44,42.0,3.0,1.0,2.0,21.0,95.45,14.0,47.73,6.82
29e95537,AM Rahane,Right-arm pace,53,102.0,4.0,6.0,9.0,18.0,192.45,25.5,33.96,28.3
2e171977,AR Patel,Fast,221,259.0,14.0,29.0,6.0,88.0,117.19,18.5,39.82,15.84
2e171977,AR Patel,Left-arm orthodox,43,79.0,0.0,3.0,7.0,10.0,183.72,,23.26,23.26
2e171977,AR Patel,Left-arm pace,18,31.0,1.0,0.0,3.0,4.0,172.22,31.0,22.22,16.67
2e171977,AR Patel,Left-arm wrist spin,22,36.0,2.0,3.0,2.0,6.0,163.64,18.0,27.27,22.73
2e171977,AR Patel,Leg-spin,105,175.0,4.0,16.0,9.0,31.0,166.67,43.75,29.52,23.81
2e171977,AR Patel,Medium,19,41.0,0.0,2.0,3.0,2.0,215.79,,10.53,26.32
2e171977,AR Patel,Off-spin,64,75.0,3.0,3.0,6.0,29.0,117.19,25.0,45.31,14.06
2e171977,AR Patel,Right-arm leg-spin,2,1.0,0.0,0.0,0.0,1.0,50.0,,50.0,0.0
