batter_id,batter_name,bowling_type,balls,runs,dismissals,fours,sixes,dot_balls,strike_rate,average,dot_pct,boundary_pct
872b03f7,A Badoni,Fast-Medium,128,149.0,6.0,10.0,6.0,48.0,116.41,24.83,37.5,12.5
872b03f7,A Badoni,LA Orthodox,33,47.0,1.0,5.0,1.0,8.0,142.42,47.0,24.24,18.18
872b03f7,A Badoni,Left-arm pace,45,68.0,4.0,9.0,1.0,14.0,151.11,17.0,31.11,22.22
872b03f7,A Badoni,Off-Spin/Leg-Spin,2,6.0,1.0,0.0,1.0,1.0,300.0,6.0,50.0,50.0
872b03f7,A Badoni,Right-arm leg-spin,46,54.0,2.0,2.0,2.0,11.0,117.39,27.0,23.91,8.7
872b03f7,A Badoni,Right-arm off-spin,53,56.0,4.0,3.0,2.0,18.0,105.66,14.0,33.96,9.43
872b03f7,A Badoni,Right-arm pace,134,248.0,3.0,22.0,12.0,31.0,185.07,82.67,23.13,25.37
872b03f7,A Badoni,Wrist-spin,24,25.0,1.0,0.0,0.0,5.0,104.17,25.0,20.83,0.0
fcc21ace,A Kamboj,Fast-Medium,6,5.0,1.0,0.0,0.0,2.0,83.33,5.0,33.33,0.0
fcc21ace,A Kamboj,Right-arm leg-spin,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0
fcc21ace,A Kamboj,Right-arm pace,3,2.0,0.0,0.0,0.0,2.0,66.67,,66.67,0.0
0890552f,A Manohar,Fast-Medium,31,42.0,2.0,1.0,4.0,13.0,135.48,21.0,41.94,16.13
0890552f,A Manohar,LA Orthodox,26,19.0,0.0,0.0,1.0,12.0,73.08,,46.15,3.85
0890552f,A Manohar,Right-arm leg-spin,7,4.0,1.0,0.0,0.0,3.0,57.14,4.0,42.86,0.0
0890552f,A Manohar,Right-arm off-spin,5,5.0,1.0,1.0,0.0,3.0,100.0,5.0,60.0,20.0
0890552f,A Manohar,Right-arm pace,38,48.0,4.0,1.0,4.0,15.0,126.32,12.0,39.47,13.16
0890552f,A Manohar,Wrist-spin,19,13.0,1.0,0.0,0.0,7.0,68.42,13.0,36.84,0.0
b2b4f545,A Mhatre,Fast-Medium,46,59.0,5.0,9.0,1.0,20.0,128.26,11.8,43.48,21.74
b2b4f545,A Mhatre,LA Orthodox,14,17.0,0.0,1.0,1.0,5.0,121.43,,35.71,14.29
b2b4f545,A Mhatre,Left-arm pace,22,62.0,0.0,5.0,5.0,3.0,281.82,,13.64,45.45
b2b4f545,A Mhatre,Right-arm leg-spin,8,12.0,0.0,1.0,0.0,1.0,150.0,,12.5,12.5
