batter_id,batter_name,pace_balls,pace_sr,pace_avg,pace_dismissals,spin_balls,spin_sr,spin_avg,spin_dismissals,bowling_type_tags
872b03f7,A Badoni,362,146.13,35.27,15.0,163,115.34,18.8,10.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_SPIN"
0890552f,A Manohar,104,136.54,17.75,8.0,0,0.0,,0.0,SPECIALIST_VS_PACE
b2b4f545,A Mhatre,95,180.0,24.43,7.0,0,0.0,,0.0,SPECIALIST_VS_PACE
6b19d823,A Mishra,53,111.32,14.75,4.0,0,0.0,,0.0,
d7017798,A Raghuvanshi,135,149.63,20.2,10.0,116,142.24,82.5,2.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN"
c4487b84,AB de Villiers,550,175.64,56.82,17.0,438,115.07,24.0,21.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_OFF_SPIN"
2b6e6dec,AC Gilchrist,78,126.92,99.0,1.0,0,0.0,,0.0,
92aeac25,AD Hales,41,151.22,31.0,2.0,0,0.0,,0.0,SPECIALIST_VS_PACE
bbd41817,AD Russell,589,184.72,32.0,34.0,279,149.46,37.91,11.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
b8d490fd,AJ Finch,376,118.88,27.94,16.0,185,134.05,31.0,8.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
7c7d63a2,AJ Tye,31,119.35,7.4,5.0,0,0.0,,0.0,
6a26221c,AK Markram,435,138.16,31.63,19.0,380,131.84,27.83,18.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_LEG_SPIN"
29e95537,AM Rahane,872,128.21,27.95,40.0,567,116.4,20.0,33.0,"VULNERABLE_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_OFF_SPIN"
2e171977,AR Patel,406,122.66,20.75,24.0,377,137.93,34.67,15.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, VULNERABLE_VS_OFF_SPIN"
70d205c9,AT Rayudu,596,130.2,28.74,27.0,514,114.98,28.14,21.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_SPIN"
8e514b4c,Abdul Samad,251,179.28,23.68,19.0,106,113.21,24.0,5.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_LEFT_ARM_SPIN, SPECIALIST_VS_OFF_SPIN"
f29185a1,Abhishek Sharma,561,154.55,27.09,32.0,227,182.38,37.64,11.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
ad3b6e95,Abishek Porel,218,155.96,37.78,9.0,64,110.94,14.2,5.0,SPECIALIST_VS_PACE
a3b0600d,Aniket Verma,63,136.51,21.5,4.0,32,168.75,54.0,1.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
1399b39c,Anmolpreet Singh,55,127.27,17.5,4.0,0,0.0,,0.0,
c8f5f961,Anuj Rawat,128,126.56,23.14,7.0,0,0.0,,0.0,
12314277,Arshad Khan,59,159.32,47.0,2.0,0,0.0,,0.0,SPECIALIST_VS_PACE
84d9c311,Ashutosh Sharma,126,175.4,44.2,5.0,31,90.32,7.0,4.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_LEFT_ARM_SPIN"
1ac746c8,Atharva Taide,102,157.84,53.67,3.0,0,0.0,,0.0,SPECIALIST_VS_PACE
2e81a32d,B Kumar,89,86.52,9.62,8.0,0,0.0,,0.0,VULNERABLE_VS_PACE
d5130a30,B Sai Sudharsan,623,139.49,48.28,18.0,330,152.12,62.75,8.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
e087956b,BA Stokes,210,128.57,18.0,15.0,107,140.19,25.0,6.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
b8a55852,BB McCullum,215,159.07,34.2,10.0,128,107.03,12.45,11.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_LEG_SPIN"
2e11c706,BCJ Cutting,41,151.22,15.5,4.0,0,0.0,,0.0,SPECIALIST_VS_PACE
b57f8a9a,BJ Hodge,39,143.59,28.0,2.0,0,0.0,,0.0,SPECIALIST_VS_PACE
eaa76d3c,C Green,199,167.84,55.67,6.0,115,126.96,146.0,1.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEG_SPIN"
af2c687b,C Munro,44,113.64,50.0,1.0,0,0.0,,0.0,
94d7f855,C de Grandhomme,64,103.12,13.2,5.0,30,123.33,37.0,1.0,VULNERABLE_VS_PACE
c995d726,CA Ingram,40,95.0,19.0,2.0,0,0.0,,0.0,VULNERABLE_VS_PACE
45eda7c8,CA Lynn,254,134.25,34.1,10.0,201,133.83,38.43,7.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
d4f9dbd4,CA Pujara,31,61.29,,0.0,0,0.0,,0.0,VULNERABLE_VS_PACE
db584dad,CH Gayle,522,151.53,49.44,16.0,286,147.55,38.36,11.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
fb66ce1f,CH Morris,108,141.67,17.0,9.0,0,0.0,,0.0,SPECIALIST_VS_PACE
