batter_id,batter_name,pace_balls,pace_sr,pace_avg,pace_dismissals,spin_balls,spin_sr,spin_avg,spin_dismissals,bowling_type_tags
872b03f7,A Badoni,338,146.15,29.06,17.0,211,131.28,30.78,9.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
0890552f,A Manohar,85,137.65,16.71,7.0,72,87.5,12.6,5.0,VULNERABLE_VS_LEG_SPIN
b2b4f545,A Mhatre,116,194.83,32.29,7.0,11,127.27,,0.0,SPECIALIST_VS_PACE
d7017798,A Raghuvanshi,173,149.13,21.5,12.0,138,136.96,47.25,4.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN"
bbd41817,AD Russell,225,181.33,25.5,16.0,145,135.86,19.7,10.0,SPECIALIST_VS_OFF_SPIN
6a26221c,AK Markram,380,138.42,25.05,21.0,282,132.62,31.17,12.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
29e95537,AM Rahane,355,172.39,36.0,17.0,290,117.93,20.12,17.0,SPECIALIST_VS_PACE
2e171977,AR Patel,284,126.06,19.89,18.0,258,159.3,37.36,11.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN"
70d205c9,AT Rayudu,49,191.84,23.5,4.0,56,96.43,10.8,5.0,"VULNERABLE_VS_SPIN, VULNERABLE_VS_LEG_SPIN"
8e514b4c,Abdul Samad,236,175.42,20.7,20.0,90,112.22,25.25,4.0,SPECIALIST_VS_LEG_SPIN
f29185a1,Abhishek Sharma,415,175.18,27.96,26.0,192,208.85,36.45,11.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
ad3b6e95,Abishek Porel,274,162.77,27.88,16.0,159,126.42,15.46,13.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_OFF_SPIN"
378daa89,Aman Hakim Khan,51,141.18,18.0,4.0,50,76.0,9.5,4.0,"VULNERABLE_VS_SPIN, VULNERABLE_VS_LEG_SPIN"
a3b0600d,Aniket Verma,74,144.59,21.4,5.0,68,189.71,32.25,4.0,SPECIALIST_VS_SPIN
1399b39c,Anmolpreet Singh,65,126.15,20.5,4.0,23,121.74,14.0,2.0,
c8f5f961,Anuj Rawat,101,152.48,38.5,4.0,47,74.47,17.5,2.0,SPECIALIST_VS_PACE
12314277,Arshad Khan,60,156.67,23.5,4.0,28,107.14,10.0,3.0,SPECIALIST_VS_PACE
84d9c311,Ashutosh Sharma,156,175.0,30.33,9.0,80,150.0,20.0,6.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEG_SPIN"
1ac746c8,Atharva Taide,119,152.94,30.33,6.0,58,134.48,26.0,3.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
2e81a32d,B Kumar,58,82.76,8.0,6.0,42,73.81,10.33,3.0,VULNERABLE_VS_PACE
d5130a30,B Sai Sudharsan,680,143.97,40.79,24.0,386,155.18,99.83,6.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
eaa76d3c,C Green,249,167.87,27.87,15.0,204,137.25,56.0,5.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_OFF_SPIN"
844e79d1,D Brevis,92,183.7,21.12,8.0,84,136.9,115.0,1.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_OFF_SPIN"
2c25d4f5,D Padikkal,243,141.98,20.29,17.0,172,116.86,20.1,10.0,
d67d5f00,DA Miller,269,140.15,25.13,15.0,161,145.34,46.8,5.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN"
dcce6f09,DA Warner,353,131.44,29.0,16.0,160,136.88,43.8,5.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_OFF_SPIN"
73ad96ed,DJ Hooda,144,118.75,14.25,12.0,86,94.19,6.75,12.0,"VULNERABLE_VS_SPIN, VULNERABLE_VS_LEG_SPIN, VULNERABLE_VS_OFF_SPIN"
eade4650,DJ Mitchell,150,134.0,25.12,8.0,73,160.27,39.0,3.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_OFF_SPIN"
df5a6881,DP Conway,357,142.02,50.7,10.0,224,134.38,33.44,9.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
bcf325d2,Dhruv Jurel,286,165.38,33.79,14.0,156,132.69,25.88,8.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, VULNERABLE_VS_OFF_SPIN"
3355b542,F du Plessis,539,164.38,36.92,24.0,353,130.59,35.46,13.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
