batter_id,batter_name,innings,total_runs,total_balls,avg_runs,stddev_runs,cv_runs,overall_sr,avg_innings_sr,stddev_sr,boundary_pct,high_impact_innings,high_impact_pct,single_digit_dismissals,failure_rate,consistency_index,quality_multiplier,weighted_consistency
d7017798,A Raghuvanshi,13,434.0,297.0,33.38461538461539,11.276513792551734,0.338,146.13,146.85,32.17,19.53,8.0,61.5,0.0,0.0,66.2,1.1,72.8
8e514b4c,Abdul Samad,16,411.0,250.0,25.6875,9.060344571262178,0.353,164.4,178.01,74.12,22.4,5.0,31.3,1.0,10.0,64.7,1.2,77.6
4a8a2e3b,MS Dhoni,13,302.0,188.0,23.23076923076923,8.39554686131831,0.361,160.64,165.36,59.74,22.34,4.0,30.8,1.0,16.7,63.9,1.2,76.7
f1f99156,TH David,20,571.0,334.0,28.55,11.521610130532972,0.404,170.96,170.89,53.61,21.56,10.0,50.0,0.0,0.0,59.6,1.2,71.5
a4e37e47,S Dube,31,1085.0,712.0,35.0,14.795378528663997,0.423,152.39,153.68,42.42,18.96,17.0,54.8,1.0,4.3,57.7,1.2,69.2
dcce6f09,DA Warner,15,662.0,488.0,44.13333333333333,18.881619516226767,0.428,135.66,138.29,22.9,21.11,10.0,66.7,0.0,0.0,57.2,1.0,57.2
3241e3fd,N Pooran,29,1293.0,673.0,44.58620689655172,19.521018277177127,0.438,192.12,192.54,61.45,28.83,22.0,75.9,0.0,0.0,56.2,1.2,67.4
ad3b6e95,Abishek Porel,17,587.0,371.0,34.529411764705884,15.289818400255864,0.443,158.22,163.36,56.14,21.83,12.0,70.6,2.0,13.3,55.7,1.2,66.8
39a2dfa8,R Tewatia,12,244.0,173.0,20.333333333333332,9.186342519680446,0.452,141.04,139.59,46.71,20.23,3.0,25.0,1.0,12.5,54.8,1.1,60.3
b0482a1d,Tilak Varma,29,1071.0,694.0,36.93103448275862,16.802978049846953,0.455,154.32,158.34,51.63,20.17,18.0,62.1,1.0,4.8,54.5,1.2,65.4
ba607b88,V Kohli,37,2001.0,1356.0,54.08108108108108,24.824114669037726,0.459,147.57,146.52,29.37,19.25,30.0,81.1,0.0,0.0,54.1,1.1,59.5
271f83cd,SA Yadav,33,1605.0,919.0,48.63636363636363,22.611097009852948,0.465,174.65,172.78,42.23,26.66,24.0,72.7,0.0,0.0,53.5,1.2,64.2
ba5e1069,R Ravindra,10,373.0,237.0,37.3,17.43014629886967,0.467,157.38,155.25,59.02,21.52,7.0,70.0,1.0,11.1,53.3,1.2,64.0
3355b542,F du Plessis,29,1309.0,841.0,45.13793103448276,21.245241476023615,0.471,155.65,156.58,41.33,21.52,18.0,62.1,1.0,3.7,52.9,1.2,63.5
48a1d7b7,SO Hetmyer,17,505.0,310.0,29.705882352941178,14.112008677978327,0.475,162.9,158.88,51.76,20.0,8.0,47.1,2.0,16.7,52.5,1.2,63.0
c740ea83,RM Patidar,19,657.0,401.0,34.578947368421055,16.435890732026806,0.475,163.84,157.36,51.34,21.7,10.0,52.6,0.0,0.0,52.5,1.2,63.0
85b3fab2,T Stubbs,19,646.0,379.0,34.0,16.26102864617054,0.478,170.45,166.56,54.59,21.64,12.0,63.2,1.0,12.5,52.2,1.2,62.6
bcf325d2,Dhruv Jurel,18,606.0,369.0,33.666666666666664,16.172679294277604,0.48,164.23,165.52,46.26,22.22,11.0,61.1,1.0,10.0,52.0,1.2,62.4
cad00a4d,RR Rossouw,10,397.0,229.0,39.7,19.07904609774818,0.481,173.36,170.72,41.14,25.76,7.0,70.0,0.0,0.0,51.9,1.2,62.3
6c19c6e5,YBK Jaiswal,29,1531.0,933.0,52.793103448275865,25.50778016584937,0.483,164.09,163.65,33.84,26.8,23.0,79.3,0.0,0.0,51.7,1.2,62.0
d5130a30,B Sai Sudharsan,32,1626.0,1086.0,50.8125,24.905367769820224,0.49,149.72,144.25,34.18,19.89,27.0,84.4,1.0,3.6,51.0,1.1,56.1
d67d5f00,DA Miller,21,562.0,373.0,26.761904761904763,13.168883822624712,0.492,150.67,144.82,45.88,19.03,8.0,38.1,2.0,16.7,50.8,1.2,61.0
2e171977,AR Patel,25,708.0,485.0,28.32,14.121529662186033,0.499,145.98,150.58,41.03,19.59,9.0,36.0,0.0,0.0,50.1,1.1,55.1
d1a60072,N Wadhera,17,631.0,434.0,37.11764705882353,18.71420458601426,0.504,145.39,142.98,43.5,19.82,10.0,58.8,1.0,7.1,49.6,1.1,54.6
26989d80,Shashank Singh,18,655.0,396.0,36.388888888888886,18.34889911589881,0.504,165.4,161.76,58.95,21.46,11.0,61.1,1.0,16.7,49.6,1.2,59.5
bbd41817,AD Russell,18,535.0,308.0,29.72222222222222,15.054735525023183,0.507,173.7,166.91,48.99,27.6,8.0,44.4,1.0,7.7,49.3,1.2,59.2
b4b99816,Shubman Gill,33,1907.0,1203.0,57.78787878787879,29.81534847341832,0.516,158.52,152.9,37.81,20.62,29.0,87.9,0.0,0.0,48.4,1.2,58.1
