batter_id,batter_name,innings_count,mean_entry_ball,median_entry_ball,mode_entry_ball,mean_entry_over,median_entry_over,mode_entry_over,position_category,min_entry_ball,max_entry_ball
00ea847a,MA Agarwal,125,16.9,4.0,0,2.81,0.67,0.0,OPENER,1,110
0184dc35,R Dravid,82,21.1,4.5,0,3.52,0.75,0.0,OPENER,1,124
03806cf8,JR Hazlewood,7,105.7,113.0,108,17.62,18.83,18.0,LOWER_ORDER,72,123
0494fa6e,Vishnu Vinod,6,57.0,64.5,90,9.5,10.75,15.0,LOWER_ORDER,2,103
04a418e8,R Parag,72,66.9,64.0,60,11.14,10.67,10.0,LOWER_ORDER,6,122
05c2ca46,RE van der Merwe,15,73.5,83.0,90,12.24,13.83,15.0,LOWER_ORDER,5,121
0604ef16,SB Bangar,7,85.3,79.0,78,14.21,13.17,13.0,LOWER_ORDER,71,112
063b3673,DH Yagnik,17,91.5,97.0,114,15.25,16.17,19.0,LOWER_ORDER,41,125
08548b13,PHKD Mendis,5,75.0,82.0,12,12.5,13.67,2.0,LOWER_ORDER,15,107
0890552f,A Manohar,20,75.5,77.5,84,12.58,12.92,14.0,LOWER_ORDER,10,130
0994d0ae,V Shankar,63,63.6,70.0,96,10.6,11.67,16.0,LOWER_ORDER,4,125
0a3d54b9,VR Aaron,12,112.4,113.0,120,18.74,18.83,20.0,LOWER_ORDER,90,124
0a476045,S Dhawan,221,7.0,3.0,0,1.16,0.5,0.0,OPENER,1,107
0a509d6b,RK Singh,51,72.1,72.0,78,12.01,12.0,13.0,LOWER_ORDER,28,122
0a67aec0,Akash Deep,5,112.6,120.0,126,18.77,20.0,21.0,LOWER_ORDER,89,131
0a8fce53,Mustafizur Rahman,7,112.6,111.0,108,18.76,18.5,18.0,LOWER_ORDER,94,126
0aadc906,PR Shah,9,76.0,96.0,108,12.67,16.0,18.0,LOWER_ORDER,8,127
0bacade8,Rahmanullah Gurbaz,18,5.1,1.0,0,0.84,0.17,0.0,OPENER,1,53
0c2730df,A Kumble,15,115.5,117.0,120,19.24,19.5,20.0,LOWER_ORDER,86,126
0c94f480,UBT Chand,20,16.5,14.5,0,2.75,2.42,0.0,TOP_ORDER,1,39
