player_id,player_name,innings,avg_entry_ball,median_entry_ball,min_entry,max_entry,entry_point_classification
fe11caa6,WP Saha,26,1.0,1.0,1,1,TOP_ORDER
6c19c6e5,YBK Jaiswal,43,1.0,1.0,1,1,TOP_ORDER
b5797845,Priyansh Arya,18,1.0,1.0,1,1,TOP_ORDER
372455c4,Q de Kock,23,1.9,1.0,1,9,TOP_ORDER
cbf58a86,SK Rasheed,5,2.0,1.0,1,6,TOP_ORDER
8b3e9c7c,PP Shaw,16,2.3,1.0,1,10,TOP_ORDER
12b610c2,TM Head,27,2.5,1.0,1,12,TOP_ORDER
ba5e1069,R Ravindra,18,2.5,1.5,1,7,TOP_ORDER
73c18486,KR Mayers,13,2.6,2.0,1,7,TOP_ORDER
ba607b88,V Kohli,44,2.6,1.0,1,13,TOP_ORDER
dcce6f09,DA Warner,22,2.7,1.0,1,13,TOP_ORDER
e66732f8,RD Rickelton,14,3.0,1.0,1,14,TOP_ORDER
740742ef,RG Sharma,45,3.3,2.0,1,14,TOP_ORDER
9b6e1b3f,J Fraser-McGurk,15,3.7,1.0,1,22,TOP_ORDER
a90e53ec,MW Short,6,3.8,3.0,1,10,TOP_ORDER
0a476045,S Dhawan,16,4.1,3.0,1,13,TOP_ORDER
470f446b,V Suryavanshi,7,4.1,4.0,2,7,TOP_ORDER
3355b542,F du Plessis,38,4.1,3.5,1,10,TOP_ORDER
b4b99816,Shubman Gill,44,4.2,4.0,2,9,TOP_ORDER
bd54eef5,N Jagadeesan,6,4.3,5.0,1,7,TOP_ORDER
b2b4f545,A Mhatre,7,4.6,1.0,1,20,TOP_ORDER
45a43fe2,RD Gaikwad,34,4.7,1.5,1,41,TOP_ORDER
abb83e27,JM Bairstow,13,4.7,5.0,2,9,TOP_ORDER
df5a6881,DP Conway,21,4.7,3.0,1,14,TOP_ORDER
f836b33d,T Kohler-Cadmore,3,4.7,4.0,4,6,TOP_ORDER
0bacade8,Rahmanullah Gurbaz,18,5.1,1.0,1,53,TOP_ORDER
3d284ca3,PD Salt,34,5.9,1.0,1,95,TOP_ORDER
9418198b,P Simran Singh,46,6.0,3.0,1,71,TOP_ORDER
d1c36f5c,JJ Roy,8,6.6,1.0,1,46,TOP_ORDER
1ac746c8,Atharva Taide,10,6.8,2.0,1,28,TOP_ORDER
1399b39c,Anmolpreet Singh,6,7.0,1.0,1,26,TOP_ORDER
f29185a1,Abhishek Sharma,40,9.5,3.0,1,82,TOP_ORDER
944533a5,KK Nair,8,11.3,6.0,1,34,TOP_ORDER
3d8feaf8,MR Marsh,26,11.4,4.0,1,68,TOP_ORDER
d5130a30,B Sai Sudharsan,35,11.5,1.0,1,53,TOP_ORDER
752f7486,Ishan Kishan,42,12.3,3.0,1,108,TOP_ORDER
cf59b3f0,Urvil Patel,3,12.7,11.0,3,24,TOP_ORDER
b17e2f24,KL Rahul,36,13.8,6.5,1,117,TOP_ORDER
663b5e34,PN Mankad,4,14.5,15.0,6,22,TOP_ORDER
99b75528,JC Buttler,38,16.4,7.0,2,79,TOP_ORDER
00ea847a,MA Agarwal,18,16.7,7.0,1,79,TOP_ORDER
77255a9e,RA Tripathi,24,16.9,17.0,2,36,TOP_ORDER
c3a96caf,Mandeep Singh,3,19.7,23.0,1,35,TOP_ORDER
29e95537,AM Rahane,35,20.3,16.0,1,71,TOP_ORDER
a4cc73aa,SV Samson,38,25.8,21.0,2,72,TOP_ORDER
9caf69a1,WG Jacks,19,26.6,16.0,1,123,TOP_ORDER
9d430b40,SP Narine,36,27.0,5.5,2,126,TOP_ORDER
6a26221c,AK Markram,37,27.9,21.0,1,112,TOP_ORDER
6c882e9a,PBB Rajapaksa,4,30.0,20.5,17,62,MIDDLE_ORDER
ad3b6e95,Abishek Porel,29,30.2,12.0,1,119,MIDDLE_ORDER
cad00a4d,RR Rossouw,17,30.9,29.0,5,65,MIDDLE_ORDER
1fc6ef83,SD Hope,9,31.1,24.0,5,97,MIDDLE_ORDER
2c25d4f5,D Padikkal,28,31.5,25.5,3,101,MIDDLE_ORDER
dd7e9b3b,YV Dhull,3,32.0,30.0,11,55,MIDDLE_ORDER
4ae1755b,HC Brook,11,32.6,6.0,1,120,MIDDLE_ORDER
fb2d1dda,N Rana,27,36.5,27.0,4,122,MIDDLE_ORDER
d7017798,A Raghuvanshi,18,37.4,29.0,2,105,MIDDLE_ORDER
989889ff,JP Inglis,11,37.5,24.0,6,115,MIDDLE_ORDER
93b4fc78,MK Pandey,13,37.8,45.0,4,69,MIDDLE_ORDER
a24be938,VR Iyer,34,37.9,27.5,3,133,MIDDLE_ORDER
85ec8e33,SS Iyer,31,40.0,32.0,2,104,MIDDLE_ORDER
28c78fb3,Harpreet Singh,5,40.4,21.0,15,86,MIDDLE_ORDER
271f83cd,SA Yadav,43,40.7,39.0,6,98,MIDDLE_ORDER
844e79d1,D Brevis,9,41.8,35.0,4,99,MIDDLE_ORDER
eade4650,DJ Mitchell,13,42.6,23.0,2,120,MIDDLE_ORDER
f088b960,SN Khan,4,43.3,31.5,29,81,MIDDLE_ORDER
c740ea83,RM Patidar,27,45.1,42.0,5,105,MIDDLE_ORDER
aad0c365,Nithish Kumar Reddy,22,47.7,34.0,13,118,MIDDLE_ORDER
04a418e8,R Parag,35,48.9,46.0,6,95,MIDDLE_ORDER
eaa76d3c,C Green,28,49.3,32.5,1,115,MIDDLE_ORDER
919a3be2,RR Pant,26,50.0,49.0,2,120,MIDDLE_ORDER
73ad96ed,DJ Hooda,26,51.0,47.5,1,123,MIDDLE_ORDER
50c6bc2b,LS Livingstone,24,51.8,51.0,11,96,MIDDLE_ORDER
b0482a1d,Tilak Varma,37,51.8,50.0,5,110,MIDDLE_ORDER
e94915e6,SM Curran,30,53.3,47.5,1,126,MIDDLE_ORDER
d9273ee7,MP Stoinis,40,53.7,46.5,4,119,MIDDLE_ORDER
d1a60072,N Wadhera,31,57.0,51.0,3,121,MIDDLE_ORDER
235c2bb6,H Klaasen,39,57.8,56.0,15,117,MIDDLE_ORDER
b681e71e,GJ Maxwell,29,60.5,63.0,14,121,MIDDLE_ORDER
3241e3fd,N Pooran,43,61.4,64.0,5,100,MIDDLE_ORDER
a4e37e47,S Dube,42,61.8,59.0,34,118,MIDDLE_ORDER
0994d0ae,V Shankar,22,62.4,66.0,16,125,MIDDLE_ORDER
f89d3b11,Sameer Rizvi,9,64.7,65.0,6,116,MIDDLE_ORDER
bb351c23,MM Ali,17,66.2,66.0,1,115,MIDDLE_ORDER
dbe50b21,HH Pandya,40,66.4,71.5,9,115,MIDDLE_ORDER
2e171977,AR Patel,36,67.1,76.0,11,116,MIDDLE_ORDER
26d041c4,Sikandar Raza,9,68.4,57.0,27,117,MIDDLE_ORDER
26989d80,Shashank Singh,28,69.3,64.5,15,116,MIDDLE_ORDER
872b03f7,A Badoni,35,69.4,70.0,8,117,MIDDLE_ORDER
fffa744b,Naman Dhir,19,69.5,91.0,5,112,MIDDLE_ORDER
800d2d97,JM Sharma,37,70.0,72.0,12,116,MIDDLE_ORDER
8998a68f,Sumit Kumar,3,71.3,79.0,37,98,MIDDLE_ORDER
0890552f,A Manohar,13,71.4,72.0,34,130,MIDDLE_ORDER
f9e6e7ef,Shahbaz Ahmed,19,71.6,78.0,2,120,MIDDLE_ORDER
5b8c830e,KH Pandya,32,71.6,77.0,3,127,MIDDLE_ORDER
0a509d6b,RK Singh,36,72.2,73.5,29,122,LOWER_ORDER
57ca01b3,Kumar Kushagra,3,72.3,78.0,19,120,LOWER_ORDER
85b3fab2,T Stubbs,28,72.7,76.5,29,106,LOWER_ORDER
d014d5ac,SE Rutherford,11,74.5,79.0,24,105,LOWER_ORDER
08548b13,PHKD Mendis,5,75.0,82.0,15,107,LOWER_ORDER
8f6dd463,Azmatullah Omarzai,9,75.1,73.0,42,112,LOWER_ORDER
fe93fd9d,RA Jadeja,37,75.5,83.0,21,123,LOWER_ORDER
e38bce7a,MG Bracewell,4,75.5,78.5,30,115,LOWER_ORDER
70d205c9,AT Rayudu,12,76.1,79.0,48,97,LOWER_ORDER
d67d5f00,DA Miller,32,76.2,78.5,24,117,LOWER_ORDER
495d42a5,R Ashwin,21,76.7,70.0,6,122,LOWER_ORDER
0494fa6e,Vishnu Vinod,3,77.3,72.0,57,103,LOWER_ORDER
378daa89,Aman Hakim Khan,9,77.9,84.0,33,111,LOWER_ORDER
f19ccfad,Washington Sundar,11,78.2,85.0,25,119,LOWER_ORDER
c8f5f961,Anuj Rawat,12,78.2,83.5,6,121,LOWER_ORDER
a3b0600d,Aniket Verma,12,78.8,82.5,18,124,LOWER_ORDER
bcf325d2,Dhruv Jurel,35,80.5,84.0,28,121,LOWER_ORDER
da934ee8,MK Lomror,20,80.6,85.0,5,127,LOWER_ORDER
3ff033bb,MD Shanaka,3,80.7,92.0,36,114,LOWER_ORDER
5ffc0565,V Nigam,8,84.0,93.0,27,121,LOWER_ORDER
bbd41817,AD Russell,33,84.6,83.0,49,120,LOWER_ORDER
48a1d7b7,SO Hetmyer,35,85.8,90.0,29,118,LOWER_ORDER
84d9c311,Ashutosh Sharma,18,86.5,93.5,43,120,LOWER_ORDER
9385de2e,SS Prabhudessai,5,86.8,79.0,73,104,LOWER_ORDER
9e7225b0,Saurav Chauhan,3,87.7,94.0,61,108,LOWER_ORDER
ad427b5c,Lalit Yadav,8,89.0,95.0,38,117,LOWER_ORDER
6b2ff18f,SB Dubey,11,89.1,92.0,33,120,LOWER_ORDER
970ddd24,Suryansh Shedge,3,89.3,98.0,55,115,LOWER_ORDER
8e514b4c,Abdul Samad,32,89.6,91.0,39,127,LOWER_ORDER
14f96089,A Zampa,3,89.7,89.0,54,126,LOWER_ORDER
c03f1114,KD Karthik,26,91.0,90.0,54,124,LOWER_ORDER
7dcb9bc9,M Shahrukh Khan,30,91.1,98.0,26,128,LOWER_ORDER
f1f99156,TH David,35,91.7,95.0,38,124,LOWER_ORDER
9a46c4e5,GD Phillips,5,92.0,106.0,52,117,LOWER_ORDER
b8527c3d,Rasikh Salam,4,92.3,93.5,68,114,LOWER_ORDER
ce820073,Sandeep Sharma,3,92.7,106.0,62,110,LOWER_ORDER
b0f2baf4,Sanvir Singh,5,93.8,112.0,28,123,LOWER_ORDER
2ed569a0,RD Chahar,4,93.8,93.5,73,115,LOWER_ORDER
650d5e49,R Powell,11,94.1,97.0,63,114,LOWER_ORDER
e4cdf230,AS Roy,6,94.3,107.5,8,130,LOWER_ORDER
62af8546,Mohammad Nabi,5,95.6,110.0,21,125,LOWER_ORDER
f986ca1a,HV Patel,10,95.6,100.5,45,122,LOWER_ORDER
a97c8ec2,PWH de Silva,10,95.7,107.5,48,120,LOWER_ORDER
be24ead0,Ramandeep Singh,16,95.9,100.0,49,130,LOWER_ORDER
60500956,RV Patel,4,96.3,97.0,82,109,LOWER_ORDER
f6d8a7ab,K Kartikeya,3,97.0,103.0,71,117,LOWER_ORDER
81c36ee9,M Jansen,16,97.1,104.0,42,124,LOWER_ORDER
1abb78f8,SN Thakur,17,98.3,100.0,19,128,LOWER_ORDER
39a2dfa8,R Tewatia,30,99.5,105.5,40,127,LOWER_ORDER
90de905a,K Gowtham,7,100.6,109.0,47,125,LOWER_ORDER
7f048519,DJ Willey,3,100.7,103.0,75,124,LOWER_ORDER
12314277,Arshad Khan,11,100.7,110.0,52,127,LOWER_ORDER
f24c6701,M Theekshana,4,101.3,110.5,62,122,LOWER_ORDER
c05edf8e,Harpreet Brar,17,102.0,112.0,66,128,LOWER_ORDER
2e81a32d,B Kumar,16,103.1,111.0,51,126,LOWER_ORDER
ded9240e,PJ Cummins,19,103.8,108.0,60,131,LOWER_ORDER
f0af99a7,D Ferreira,3,104.0,111.0,89,112,LOWER_ORDER
3204c99f,G Coetzee,7,104.4,113.0,81,124,LOWER_ORDER
7210d461,Yash Dayal,3,104.7,115.0,71,128,LOWER_ORDER
98ae73b1,PP Chawla,10,104.9,112.0,59,125,LOWER_ORDER
c0c411cb,Naveen-ul-Haq,4,105.5,105.0,91,121,LOWER_ORDER
77b1aa15,Harshit Rana,8,105.6,115.5,72,131,LOWER_ORDER
4a8a2e3b,MS Dhoni,36,105.6,105.5,68,125,LOWER_ORDER
0c9652b0,HR Shokeen,3,106.0,101.0,97,120,LOWER_ORDER
5574750c,JC Archer,9,106.2,113.0,47,129,LOWER_ORDER
0f721006,JO Holder,3,107.7,124.0,74,125,LOWER_ORDER
df064e1a,Ravi Bishnoi,12,107.8,117.5,67,126,LOWER_ORDER
244048f6,Arshdeep Singh,4,108.0,107.5,95,122,LOWER_ORDER
4885bbe6,Yudhvir Singh,4,108.0,107.5,92,125,LOWER_ORDER
327b58d3,PVD Chameera,3,108.3,111.0,91,123,LOWER_ORDER
983f2f61,Swapnil Singh,6,108.3,115.0,66,126,LOWER_ORDER
5f547c8b,Rashid Khan,25,108.5,117.0,59,128,LOWER_ORDER
e4a0deae,MJ Santner,13,108.7,113.0,79,124,LOWER_ORDER
cc1e8c68,UT Yadav,7,108.9,106.0,95,128,LOWER_ORDER
119678fd,KV Sharma,6,109.7,116.0,79,120,LOWER_ORDER
30df8c66,Simarjeet Singh,3,109.7,115.0,95,119,LOWER_ORDER
c5aef772,R Shepherd,9,110.2,111.0,91,126,LOWER_ORDER
5bb1a1c4,I Sharma,3,111.0,110.0,103,120,LOWER_ORDER
83c3e8e3,SH Johnson,5,111.4,111.0,92,124,LOWER_ORDER
efc04be7,Noor Ahmad,11,111.5,117.0,74,129,LOWER_ORDER
1e66c162,JD Unadkat,6,111.5,112.5,92,125,LOWER_ORDER
7c3b3b78,VG Arora,5,112.0,118.0,79,127,LOWER_ORDER
759ac88f,MM Sharma,5,112.2,119.0,75,128,LOWER_ORDER
aa8d28ae,D Wiese,3,112.7,109.0,108,121,LOWER_ORDER
fcc21ace,A Kamboj,6,112.8,114.0,98,125,LOWER_ORDER
8d2c70ad,Kuldeep Yadav,20,113.4,118.0,86,129,LOWER_ORDER
a818c1be,TA Boult,10,113.9,116.5,82,131,LOWER_ORDER
acdc62f5,A Nortje,9,114.1,117.0,97,124,LOWER_ORDER
c7a995d3,R Sai Kishore,4,114.8,116.5,98,128,LOWER_ORDER
23eeb873,DL Chahar,5,114.8,121.0,100,126,LOWER_ORDER
2cffab74,Mukesh Kumar,5,115.0,120.0,97,126,LOWER_ORDER
3fb19989,MA Starc,10,115.3,116.0,96,132,LOWER_ORDER
2f49c897,Mohammed Siraj,4,116.0,115.0,111,123,LOWER_ORDER
8cf9814c,Mohammed Shami,6,116.2,119.5,96,127,LOWER_ORDER
0a67aec0,Akash Deep,4,116.5,123.0,89,131,LOWER_ORDER
5b7ab5a9,CV Varun,3,117.7,121.0,100,132,LOWER_ORDER
a9fd84fb,M Markande,3,118.3,124.0,106,125,LOWER_ORDER
54e52590,Vijaykumar Vyshak,4,118.8,120.5,107,127,LOWER_ORDER
e62dd25d,K Rabada,7,118.9,120.0,108,124,LOWER_ORDER
eef2536f,Avesh Khan,7,119.0,122.0,100,129,LOWER_ORDER
462411b3,JJ Bumrah,5,119.4,122.0,104,128,LOWER_ORDER
46a9bea1,TU Deshpande,6,119.7,120.5,106,130,LOWER_ORDER
