player_id,player_name,pressure_band,innings,balls_faced,runs,strike_rate,batting_average,boundary_pct,dot_ball_pct,six_pct,dismissals
872b03f7,A Badoni,COMFORTABLE,3,36,32,88.89,16.0,8.33,41.67,0.0,2
872b03f7,A Badoni,EXTREME,5,39,58,148.72,58.0,17.95,23.08,7.69,1
872b03f7,A Badoni,HIGH,7,38,29,76.32,9.67,5.26,50.0,2.63,3
872b03f7,A Badoni,NEAR_IMPOSSIBLE,6,65,105,161.54,35.0,16.92,21.54,9.23,3
0890552f,A Manohar,BUILDING,1,15,14,93.33,,6.67,40.0,6.67,0
b2b4f545,A Mhatre,HIGH,1,48,94,195.83,94.0,29.17,20.83,10.42,1
acdc62f5,A Nortje,NEAR_IMPOSSIBLE,4,23,27,117.39,13.5,17.39,34.78,0.0,2
d7017798,A Raghuvanshi,COMFORTABLE,3,46,62,134.78,31.0,19.57,32.61,4.35,2
d7017798,A Raghuvanshi,NEAR_IMPOSSIBLE,3,32,39,121.88,19.5,15.63,31.25,0.0,2
bbd41817,AD Russell,EXTREME,5,44,69,156.82,17.25,22.73,38.64,9.09,4
bbd41817,AD Russell,NEAR_IMPOSSIBLE,5,32,45,140.63,11.25,21.88,53.13,12.5,4
6a26221c,AK Markram,BUILDING,6,62,84,135.48,,19.35,32.26,1.61,0
6a26221c,AK Markram,COMFORTABLE,3,62,98,158.06,49.0,20.97,22.58,1.61,2
6a26221c,AK Markram,EXTREME,3,17,17,100.0,5.67,11.76,47.06,5.88,3
6a26221c,AK Markram,HIGH,10,90,102,113.33,14.57,13.33,36.67,1.11,7
29e95537,AM Rahane,BUILDING,4,61,89,145.9,29.67,13.11,29.51,8.2,3
29e95537,AM Rahane,COMFORTABLE,5,80,115,143.75,28.75,18.75,28.75,6.25,4
29e95537,AM Rahane,EXTREME,7,64,87,135.94,21.75,12.5,20.31,3.13,4
29e95537,AM Rahane,HIGH,7,84,138,164.29,138.0,26.19,29.76,7.14,1
2e171977,AR Patel,BUILDING,4,38,55,144.74,27.5,23.68,31.58,0.0,2
2e171977,AR Patel,COMFORTABLE,4,38,52,136.84,52.0,18.42,42.11,13.16,1
2e171977,AR Patel,HIGH,5,60,108,180.0,36.0,26.67,26.67,11.67,3
2e171977,AR Patel,NEAR_IMPOSSIBLE,11,75,104,138.67,14.86,14.67,22.67,5.33,7
70d205c9,AT Rayudu,COMFORTABLE,3,36,41,113.89,20.5,13.89,38.89,2.78,2
8e514b4c,Abdul Samad,HIGH,5,16,23,143.75,23.0,18.75,25.0,6.25,1
8e514b4c,Abdul Samad,NEAR_IMPOSSIBLE,10,95,112,117.89,28.0,12.63,35.79,6.32,4
f29185a1,Abhishek Sharma,BUILDING,7,49,96,195.92,24.0,30.61,28.57,16.33,4
f29185a1,Abhishek Sharma,COMFORTABLE,3,27,87,322.22,43.5,59.26,25.93,33.33,2
f29185a1,Abhishek Sharma,EXTREME,3,67,123,183.58,123.0,25.37,25.37,8.96,1
f29185a1,Abhishek Sharma,HIGH,12,130,268,206.15,33.5,34.62,29.23,14.62,8
f29185a1,Abhishek Sharma,NEAR_IMPOSSIBLE,1,17,33,194.12,33.0,29.41,23.53,17.65,1
ad3b6e95,Abishek Porel,BUILDING,5,38,43,113.16,10.75,10.53,34.21,2.63,4
ad3b6e95,Abishek Porel,COMFORTABLE,3,50,86,172.0,43.0,24.0,20.0,8.0,2
ad3b6e95,Abishek Porel,EXTREME,4,53,83,156.6,83.0,22.64,30.19,1.89,1
ad3b6e95,Abishek Porel,HIGH,4,29,28,96.55,9.33,10.34,34.48,0.0,3
ad3b6e95,Abishek Porel,NEAR_IMPOSSIBLE,4,24,16,66.67,4.0,8.33,54.17,0.0,4
378daa89,Aman Hakim Khan,NEAR_IMPOSSIBLE,4,21,21,100.0,7.0,9.52,38.1,0.0,3
a3b0600d,Aniket Verma,BUILDING,1,19,19,100.0,19.0,10.53,52.63,10.53,1
1399b39c,Anmolpreet Singh,HIGH,2,26,33,126.92,16.5,19.23,46.15,3.85,2
c8f5f961,Anuj Rawat,EXTREME,3,18,10,55.56,10.0,0.0,50.0,0.0,1
c8f5f961,Anuj Rawat,HIGH,2,17,12,70.59,,5.88,47.06,0.0,0
12314277,Arshad Khan,NEAR_IMPOSSIBLE,3,38,64,168.42,21.33,23.68,42.11,18.42,3
84d9c311,Ashutosh Sharma,EXTREME,6,39,59,151.28,59.0,15.38,23.08,10.26,1
