bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,strike_rate_diff,handedness_tags
fcc21ace,A Kamboj,99,10.36,16.5,6.0,87,7.86,43.5,2.0,2.499999999999999,-27.0,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
acdc62f5,A Nortje,132,13.5,33.0,4.0,204,10.91,17.0,12.0,2.59,16.0,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, RHB_PRESSURE"
bbd41817,AD Russell,81,12.52,16.2,5.0,207,10.41,8.28,25.0,2.1099999999999994,7.92,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, RHB_PRESSURE"
6a26221c,AK Markram,70,7.46,23.33,3.0,61,10.33,30.5,2.0,-2.87,-7.170000000000002,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER, LHB_PRESSURE"
2e171977,AR Patel,193,9.02,24.13,8.0,453,7.71,30.2,15.0,1.3099999999999996,-6.07,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
b0946605,AS Joseph,84,11.36,28.0,3.0,114,10.05,57.0,2.0,1.3099999999999987,-29.0,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
0a67aec0,Akash Deep,78,11.62,26.0,3.0,70,13.63,35.0,2.0,-2.0100000000000016,-9.0,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER, LHB_PRESSURE"
4bd09374,Akash Madhwal,67,9.04,13.4,5.0,217,10.81,15.5,14.0,-1.7700000000000014,-2.0999999999999996,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
b483905d,Akash Singh,64,9.47,32.0,2.0,73,7.81,14.6,5.0,1.660000000000001,17.4,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, LHB_PRESSURE"
244048f6,Arshdeep Singh,302,10.11,13.13,23.0,459,9.36,15.83,29.0,0.75,-2.6999999999999993,
eef2536f,Avesh Khan,213,9.58,23.67,9.0,434,10.18,19.73,22.0,-0.5999999999999996,3.9400000000000013,
8f6dd463,Azmatullah Omarzai,95,9.6,13.57,7.0,147,9.55,36.75,4.0,0.049999999999998934,-23.18,LHB_WICKET_TAKER
2e81a32d,B Kumar,331,9.9,25.46,13.0,426,9.49,16.38,26.0,0.41000000000000014,9.080000000000002,RHB_WICKET_TAKER
eaa76d3c,C Green,147,9.27,29.4,5.0,222,9.05,22.2,10.0,0.21999999999999886,7.199999999999999,RHB_WICKET_TAKER
5b7ab5a9,CV Varun,231,8.03,23.1,10.0,523,8.04,18.03,29.0,-0.009999999999999787,5.07,
23eeb873,DL Chahar,164,8.38,14.91,11.0,273,9.38,34.13,8.0,-1.0,-19.220000000000002,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER, LHB_PRESSURE"
13fc5c6d,DS Rathi,127,8.22,18.14,7.0,176,8.32,29.33,6.0,-0.09999999999999964,-11.189999999999998,"LHB_WICKET_TAKER, LHB_PRESSURE"
3204c99f,G Coetzee,96,10.94,19.2,5.0,143,10.95,20.43,7.0,-0.009999999999999787,-1.2300000000000004,
b681e71e,GJ Maxwell,134,8.87,19.14,7.0,86,7.6,14.33,6.0,1.2699999999999996,4.8100000000000005,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
dbe50b21,HH Pandya,190,9.76,21.11,9.0,316,10.04,19.75,16.0,-0.27999999999999936,1.3599999999999994,RHB_PRESSURE
f986ca1a,HV Patel,254,10.61,13.37,19.0,479,10.05,15.97,30.0,0.5599999999999987,-2.6000000000000014,
c05edf8e,Harpreet Brar,113,8.6,18.83,6.0,294,8.24,24.5,12.0,0.35999999999999943,-5.670000000000002,
77b1aa15,Harshit Rana,164,9.84,16.4,10.0,336,10.04,16.0,21.0,-0.1999999999999993,0.3999999999999986,LHB_PRESSURE
5bb1a1c4,I Sharma,126,10.14,15.75,8.0,214,10.51,19.45,11.0,-0.3699999999999992,-3.6999999999999993,LHB_PRESSURE
5574750c,JC Archer,112,11.04,22.4,5.0,221,9.75,31.57,7.0,1.2899999999999991,-9.170000000000002,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
1e66c162,JD Unadkat,99,9.21,16.5,6.0,202,8.35,16.83,12.0,0.8600000000000012,-0.3299999999999983,
462411b3,JJ Bumrah,177,6.14,11.06,16.0,352,6.85,16.76,21.0,-0.71,-5.700000000000001,
03806cf8,JR Hazlewood,101,9.74,10.1,10.0,195,8.49,15.0,13.0,1.25,-4.9,"RHB_SPECIALIST, LHB_VULNERABLE"
e62dd25d,K Rabada,153,10.82,30.6,5.0,235,9.73,29.38,8.0,1.0899999999999999,1.2200000000000024,"RHB_SPECIALIST, LHB_VULNERABLE"
5b8c830e,KH Pandya,155,8.48,22.14,7.0,414,7.2,24.35,17.0,1.2800000000000002,-2.210000000000001,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
a2f46292,KK Ahmed,251,10.09,17.93,14.0,386,9.93,18.38,21.0,0.16000000000000014,-0.4499999999999993,
119678fd,KV Sharma,77,13.09,15.4,5.0,229,10.09,17.62,13.0,3.0,-2.2200000000000006,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
8d2c70ad,Kuldeep Yadav,297,7.94,19.8,15.0,434,8.05,22.84,19.0,-0.11000000000000032,-3.039999999999999,LHB_PRESSURE
2f9d0389,LH Ferguson,98,9.67,16.33,6.0,125,10.08,12.5,10.0,-0.41000000000000014,3.8299999999999983,
50c6bc2b,LS Livingstone,60,8.9,30.0,2.0,76,10.11,25.33,3.0,-1.209999999999999,4.670000000000002,"LHB_SPECIALIST, RHB_VULNERABLE, RHB_PRESSURE"
81c36ee9,M Jansen,200,10.83,15.38,13.0,266,10.11,22.17,12.0,0.7200000000000006,-6.790000000000001,LHB_WICKET_TAKER
a9fd84fb,M Markande,115,9.65,38.33,3.0,174,9.14,15.82,11.0,0.5099999999999998,22.509999999999998,RHB_WICKET_TAKER
64839cb3,M Pathirana,223,9.04,11.74,19.0,351,9.35,14.63,24.0,-0.3100000000000005,-2.8900000000000006,LHB_PRESSURE
85e0cf10,M Prasidh Krishna,110,6.82,10.0,11.0,218,8.97,15.57,14.0,-2.1500000000000004,-5.57,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
f24c6701,M Theekshana,210,8.29,21.0,10.0,326,8.94,46.57,7.0,-0.6500000000000004,-25.57,"LHB_WICKET_TAKER, LHB_PRESSURE"
3fb19989,MA Starc,130,10.38,11.82,11.0,278,11.03,16.35,17.0,-0.6499999999999986,-4.530000000000001,
e4a0deae,MJ Santner,70,9.34,70.0,1.0,246,7.73,20.5,12.0,1.6099999999999994,49.5,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, RHB_PRESSURE"
bb351c23,MM Ali,103,6.0,20.6,5.0,133,10.15,33.25,4.0,-4.15,-12.649999999999999,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
759ac88f,MM Sharma,201,10.96,22.33,9.0,352,9.65,14.08,25.0,1.3100000000000005,8.249999999999998,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
d9273ee7,MP Stoinis,102,11.18,17.0,6.0,107,10.09,17.83,6.0,1.0899999999999999,-0.8299999999999983,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_PRESSURE"
8cf9814c,Mohammed Shami,185,9.28,23.13,8.0,269,9.72,17.93,15.0,-0.4400000000000013,5.199999999999999,
2f49c897,Mohammed Siraj,368,9.28,20.44,18.0,445,9.22,19.35,23.0,0.05999999999999872,1.0899999999999999,
c33d8116,Mohsin Khan,73,10.52,14.6,5.0,162,10.89,27.0,6.0,-0.370000000000001,-12.4,"LHB_WICKET_TAKER, LHB_PRESSURE"
2cffab74,Mukesh Kumar,219,10.27,13.69,16.0,307,11.14,13.95,22.0,-0.870000000000001,-0.2599999999999998,
0a8fce53,Mustafizur Rahman,98,8.2,16.33,6.0,153,9.65,17.0,9.0,-1.450000000000001,-0.6700000000000017,"LHB_SPECIALIST, RHB_VULNERABLE"
ee1b6c27,N Thushara,71,8.45,35.5,2.0,95,10.23,13.57,7.0,-1.7800000000000011,21.93,"LHB_SPECIALIST, RHB_VULNERABLE, RHB_WICKET_TAKER"
9eb1455b,NT Ellis,98,7.47,24.5,4.0,107,10.26,21.4,5.0,-2.79,3.1000000000000014,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
c0c411cb,Naveen-ul-Haq,124,9.97,20.67,6.0,196,9.58,12.25,16.0,0.39000000000000057,8.420000000000002,RHB_WICKET_TAKER
efc04be7,Noor Ahmad,237,7.57,13.94,17.0,466,8.23,17.92,26.0,-0.6600000000000001,-3.980000000000002,LHB_PRESSURE
ded9240e,PJ Cummins,222,9.14,27.75,8.0,336,9.09,17.68,19.0,0.05000000000000071,10.07,RHB_WICKET_TAKER
98ae73b1,PP Chawla,154,9.12,17.11,9.0,247,8.45,14.53,17.0,0.6699999999999999,2.58,
a97c8ec2,PWH de Silva,100,10.5,20.0,5.0,277,9.18,21.31,13.0,1.3200000000000003,-1.3099999999999987,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
495d42a5,R Ashwin,275,8.86,30.56,9.0,359,8.97,32.64,11.0,-0.11000000000000121,-2.080000000000002,LHB_PRESSURE
c7a995d3,R Sai Kishore,69,11.91,23.0,3.0,266,9.07,14.0,19.0,2.84,9.0,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, RHB_PRESSURE"
fe93fd9d,RA Jadeja,248,8.69,22.55,11.0,445,7.67,21.19,21.0,1.0199999999999996,1.3599999999999994,"RHB_SPECIALIST, LHB_VULNERABLE"
2ed569a0,RD Chahar,137,6.7,17.13,8.0,241,8.99,30.13,8.0,-2.29,-13.0,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
5f547c8b,Rashid Khan,327,8.33,17.21,19.0,524,9.35,29.11,18.0,-1.0199999999999996,-11.899999999999999,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER, LHB_PRESSURE"
