bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,strike_rate_diff,lhb_wickets_per_ball,rhb_wickets_per_ball,wickets_per_ball_diff,handedness_tags
fcc21ace,A Kamboj,99,10.36,16.5,6.0,85,7.84,42.5,2.0,2.5199999999999996,-26.0,0.06060606060606061,0.023529411764705882,0.037076648841354726,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
acdc62f5,A Nortje,145,13.03,29.0,5.0,190,10.45,19.0,10.0,2.58,10.0,0.034482758620689655,0.05263157894736842,-0.018148820326678763,"RHB_SPECIALIST, LHB_VULNERABLE"
bbd41817,AD Russell,85,12.0,17.0,5.0,204,10.85,7.85,26.0,1.1500000000000004,9.15,0.058823529411764705,0.12745098039215685,-0.06862745098039215,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
2e171977,AR Patel,200,9.12,25.0,8.0,433,7.69,30.93,14.0,1.4299999999999988,-5.93,0.04,0.03233256351039261,0.007667436489607389,"RHB_SPECIALIST, LHB_VULNERABLE"
b0946605,AS Joseph,88,11.45,29.33,3.0,87,10.14,43.5,2.0,1.3099999999999987,-14.170000000000002,0.03409090909090909,0.022988505747126436,0.011102403343782652,"RHB_SPECIALIST, LHB_VULNERABLE"
0a67aec0,Akash Deep,68,10.94,22.67,3.0,78,14.0,39.0,2.0,-3.0600000000000005,-16.33,0.04411764705882353,0.02564102564102564,0.018476621417797892,"LHB_SPECIALIST, RHB_VULNERABLE"
4bd09374,Akash Madhwal,81,9.63,13.5,6.0,181,10.57,15.08,12.0,-0.9399999999999995,-1.58,0.07407407407407407,0.06629834254143646,0.007775731532637609,
b483905d,Akash Singh,64,9.47,32.0,2.0,73,7.81,14.6,5.0,1.660000000000001,17.4,0.03125,0.0684931506849315,-0.0372431506849315,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
12314277,Arshad Khan,60,12.5,15.0,4.0,178,12.03,35.6,5.0,0.47000000000000064,-20.6,0.06666666666666667,0.028089887640449437,0.03857677902621723,LHB_WICKET_TAKER
244048f6,Arshdeep Singh,301,9.87,12.54,24.0,458,9.58,16.96,27.0,0.28999999999999915,-4.420000000000002,0.07973421926910298,0.05895196506550218,0.020782254203600803,LHB_WICKET_TAKER
eef2536f,Avesh Khan,223,9.66,24.78,9.0,418,9.93,18.17,23.0,-0.2699999999999996,6.609999999999999,0.04035874439461883,0.05502392344497608,-0.014665179050357247,
8f6dd463,Azmatullah Omarzai,82,8.93,16.4,5.0,158,9.99,26.33,6.0,-1.0600000000000005,-9.93,0.06097560975609756,0.0379746835443038,0.02300092621179376,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
