match_phase,bowler_id,bowler_name,overs,wickets,runs_conceded,economy,dot_ball_pct,pct_overs_in_phase,pct_wickets_in_phase,sample_size,phase_rank
death,64839cb3,M Pathirana,64.2,33.0,555.0,8.65,31.95,58.2,73.3,HIGH,1
death,f986ca1a,HV Patel,56.8,35.0,556.0,9.78,27.86,40.6,64.8,HIGH,2
death,244048f6,Arshdeep Singh,52.5,29.0,523.0,9.96,31.11,32.9,50.9,HIGH,3
death,eef2536f,Avesh Khan,52.3,24.0,506.0,9.67,24.84,39.9,58.5,HIGH,4
death,759ac88f,MM Sharma,48.2,22.0,492.0,10.21,24.91,44.5,52.4,HIGH,5
death,46a9bea1,TU Deshpande,48.0,26.0,535.0,11.15,28.47,35.0,55.3,HIGH,6
death,2e81a32d,B Kumar,48.0,18.0,502.0,10.46,22.22,30.0,40.9,HIGH,7
death,ce820073,Sandeep Sharma,45.5,23.0,458.0,10.07,23.44,37.8,71.9,HIGH,8
death,ce794613,T Natarajan,42.3,19.0,420.0,9.92,27.95,42.1,63.3,HIGH,9
death,2f49c897,Mohammed Siraj,42.0,19.0,381.0,9.07,34.92,26.1,38.0,HIGH,10
death,2cffab74,Mukesh Kumar,40.0,18.0,491.0,12.28,25.0,37.7,50.0,HIGH,11
death,462411b3,JJ Bumrah,33.2,21.0,224.0,6.75,35.68,33.4,55.3,HIGH,12
death,57ee1fde,YS Chahal,33.0,21.0,326.0,9.88,29.29,21.2,38.9,HIGH,13
death,5f547c8b,Rashid Khan,33.0,17.0,347.0,10.52,28.79,19.9,37.0,HIGH,14
death,1abb78f8,SN Thakur,30.8,13.0,326.0,10.57,26.49,35.6,52.0,HIGH,15
death,ded9240e,PJ Cummins,30.7,9.0,326.0,10.63,21.74,27.7,26.5,HIGH,16
death,a2f46292,KK Ahmed,30.7,18.0,355.0,11.58,29.89,23.7,43.9,HIGH,17
death,4b31f3a3,Yash Thakur,30.2,13.0,329.0,10.91,28.73,40.9,52.0,HIGH,18
death,a818c1be,TA Boult,30.0,15.0,297.0,9.9,28.33,20.1,29.4,HIGH,19
death,acdc62f5,A Nortje,30.0,8.0,364.0,12.13,26.67,43.5,44.4,HIGH,20
death,e94915e6,SM Curran,29.8,14.0,338.0,11.33,20.67,29.6,51.9,HIGH,21
death,7210d461,Yash Dayal,29.2,13.0,315.0,10.8,24.57,25.7,43.3,HIGH,22
death,5b7ab5a9,CV Varun,27.7,11.0,233.0,8.42,38.55,18.1,19.0,HIGH,23
death,c0c411cb,Naveen-ul-Haq,26.7,12.0,245.0,9.19,29.38,41.2,48.0,HIGH,24
death,77b1aa15,Harshit Rana,26.2,14.0,247.0,9.44,33.76,25.4,35.9,HIGH,25
death,8d2c70ad,Kuldeep Yadav,26.0,9.0,197.0,7.58,31.41,17.9,22.0,HIGH,26
death,bbd41817,AD Russell,24.8,12.0,258.0,10.39,32.21,39.6,35.3,HIGH,27
death,4bd09374,Akash Madhwal,22.7,9.0,223.0,9.84,27.94,38.6,39.1,HIGH,28
death,0a8fce53,Mustafizur Rahman,21.3,10.0,206.0,9.66,31.25,40.6,52.6,HIGH,29
death,efc04be7,Noor Ahmad,21.2,13.0,162.0,7.65,42.52,16.0,27.7,HIGH,30
death,7c3b3b78,VG Arora,20.5,13.0,197.0,9.61,31.71,23.1,39.4,HIGH,31
death,3fb19989,MA Starc,19.8,13.0,204.0,10.29,31.93,24.8,41.9,HIGH,32
death,5574750c,JC Archer,19.7,5.0,239.0,12.15,23.73,29.9,38.5,HIGH,33
death,f24c6701,M Theekshana,19.0,8.0,179.0,9.42,27.19,17.1,33.3,HIGH,34
death,df064e1a,Ravi Bishnoi,18.2,8.0,191.0,10.51,35.78,13.9,22.9,HIGH,35
death,e62dd25d,K Rabada,18.2,6.0,210.0,11.56,25.69,22.9,30.0,HIGH,36
death,85e0cf10,M Prasidh Krishna,18.0,15.0,185.0,10.28,35.19,30.5,60.0,HIGH,37
death,8cf9814c,Mohammed Shami,17.2,9.0,189.0,11.01,23.3,18.0,26.5,HIGH,38
death,9eb1455b,NT Ellis,17.0,6.0,178.0,10.47,23.53,37.0,40.0,MEDIUM,39
death,9d430b40,SP Narine,17.0,8.0,125.0,7.35,31.37,11.5,20.0,HIGH,40
death,3204c99f,G Coetzee,16.5,7.0,172.0,10.42,28.28,36.3,46.7,MEDIUM,41
death,eaa76d3c,C Green,16.2,4.0,190.0,11.75,26.8,22.1,25.0,HIGH,42
death,c33d8116,Mohsin Khan,15.0,6.0,163.0,10.87,31.11,31.3,46.2,MEDIUM,43
