bowler_id,bowler_name,powerplay_overs,powerplay_economy,powerplay_wickets,middle_overs,middle_economy,middle_wickets,death_overs,death_economy,death_wickets,phase_tags
1c2a64cd,A Ashish Reddy,1.0,20.0,0.0,25.8,8.17,8.0,16.8,10.04,11.0,
872b03f7,A Badoni,0.2,0.0,0.0,3.0,10.33,2.0,2.7,7.13,2.0,
99b202b3,A Chandila,24.0,5.79,10.0,14.0,7.14,1.0,1.0,6.0,0.0,
18e6906e,A Choudhary,6.0,7.67,3.0,6.8,8.49,1.0,4.0,10.0,1.0,
5b16a806,A Dananjaya,1.0,12.0,0.0,3.0,11.67,0.0,0.0,,0.0,
ddc0828d,A Flintoff,2.0,10.5,0.0,5.0,5.2,1.0,4.0,14.75,1.0,
fcc21ace,A Kamboj,26.0,8.92,8.0,5.0,10.6,1.0,0.5,6.0,1.0,
0c2730df,A Kumble,18.0,5.0,3.0,115.0,6.8,28.0,27.8,7.8,18.0,MIDDLE_OVERS_BEAST
6b19d823,A Mishra,23.0,7.57,6.0,452.0,7.05,132.0,86.8,9.57,45.0,
66cf56a5,A Mithun,11.0,9.55,1.0,24.0,9.04,2.0,13.0,11.92,5.0,
96fd40ae,A Nehra,182.2,7.61,45.0,48.0,7.42,13.0,87.8,9.04,63.0,
2503e881,A Nel,1.0,12.0,1.0,1.0,11.0,0.0,1.0,8.0,0.0,
acdc62f5,A Nortje,74.0,8.62,22.0,36.3,8.81,12.0,72.3,10.27,29.0,
5b040b81,A Singh,44.0,7.0,13.0,8.0,7.38,1.0,26.8,10.14,17.0,PP_BEAST
bd77eb62,A Symonds,19.0,5.79,5.0,55.0,7.95,12.0,13.8,10.63,6.0,
fdcb08c2,A Uniyal,2.0,11.0,1.0,1.0,18.0,0.0,3.0,9.0,2.0,
14f96089,A Zampa,7.0,6.86,3.0,56.0,7.89,16.0,14.8,11.19,13.0,
29d72eb2,AA Chavan,24.0,6.83,3.0,15.0,9.53,2.0,2.3,13.71,3.0,
2815fe50,AA Jhunjhunwala,5.0,9.4,0.0,9.0,9.0,1.0,0.2,12.0,0.0,
16605a1b,AA Kazi,0.0,,0.0,2.0,10.5,1.0,0.0,,0.0,
b69e69ed,AA Noffke,1.0,23.0,0.0,1.0,7.0,0.0,2.0,5.5,1.0,
fa463154,AB Agarkar,30.0,9.83,6.0,70.0,8.11,18.0,30.3,10.25,9.0,PP_LIABILITY
66b30f71,AB Dinda,135.0,7.48,36.0,49.0,6.65,11.0,68.7,11.17,35.0,DEATH_LIABILITY
16043342,AB McDonald,7.0,9.14,3.0,19.0,7.79,7.0,5.0,10.2,4.0,
2b6e6dec,AC Gilchrist,0.0,,0.0,0.0,,0.0,0.2,0.0,1.0,
b552a935,AC Thomas,30.0,6.53,8.0,4.0,6.75,3.0,18.5,10.43,5.0,PP_BEAST
864c199e,AC Voges,2.0,13.0,0.0,6.0,7.5,1.0,1.0,5.0,0.0,
3edb58fc,AD Mascarenhas,28.0,7.36,12.0,19.0,6.16,5.0,4.3,9.69,2.0,
896d78ad,AD Mathews,21.0,8.81,6.0,85.0,8.06,12.0,25.8,8.71,10.0,
bbd41817,AD Russell,67.8,8.61,23.0,135.5,9.29,51.0,97.7,10.91,59.0,"MIDDLE_OVERS_LIABILITY, DEATH_LIABILITY"
350bb1b1,AF Milne,16.0,9.88,3.0,9.0,10.0,1.0,9.5,9.58,5.0,
ef5da05c,AG Murtaza,13.0,4.0,3.0,27.0,8.0,9.0,4.0,13.5,0.0,
b8d490fd,AJ Finch,1.0,3.0,0.0,5.0,11.6,1.0,1.2,5.14,0.0,
4d7f517e,AJ Hosein,3.0,10.33,0.0,1.0,10.0,1.0,0.0,,0.0,
7c7d63a2,AJ Tye,32.0,8.13,13.0,34.0,8.29,8.0,48.2,9.61,27.0,
6a26221c,AK Markram,7.0,8.43,1.0,24.0,8.96,5.0,0.2,6.0,0.0,
8291f939,AL Menaria,8.0,6.88,1.0,7.0,5.86,2.0,3.3,14.4,0.0,
a45a5e8d,AM Nayar,1.0,10.0,0.0,36.2,8.41,8.0,1.0,9.0,1.0,
29e95537,AM Rahane,0.0,,0.0,1.0,5.0,1.0,0.0,,0.0,
260fd380,AM Salvi,11.0,7.18,1.0,9.0,8.89,4.0,5.0,9.2,2.0,
2af1b6d2,AN Ahmed,23.0,8.13,3.0,19.0,7.95,3.0,15.3,11.54,9.0,
dbc50253,AP Dole,5.0,12.4,2.0,4.0,7.5,2.0,2.0,11.0,1.0,
