player_id,player_name,pressure_band,legal_balls,overs,runs_conceded,economy,dot_ball_pct,boundary_conceded_pct,six_conceded_pct,wickets,bowling_strike_rate
fcc21ace,A Kamboj,BUILDING,40,6.7,43,6.45,47.5,15.0,5.0,2,20.0
fcc21ace,A Kamboj,COMFORTABLE,20,3.3,34,10.2,35.0,25.0,5.0,1,20.0
acdc62f5,A Nortje,BUILDING,19,3.2,19,6.0,42.11,5.26,5.26,1,19.0
acdc62f5,A Nortje,COMFORTABLE,42,7.0,64,9.14,50.0,26.19,7.14,3,14.0
acdc62f5,A Nortje,EXTREME,29,4.8,48,9.93,20.69,17.24,6.9,1,29.0
acdc62f5,A Nortje,HIGH,30,5.0,56,11.2,33.33,30.0,10.0,1,30.0
acdc62f5,A Nortje,NEAR_IMPOSSIBLE,33,5.5,66,12.0,33.33,27.27,21.21,2,16.5
14f96089,A Zampa,BUILDING,15,2.5,33,13.2,20.0,26.67,6.67,0,
14f96089,A Zampa,COMFORTABLE,39,6.5,77,11.85,15.38,28.21,12.82,1,39.0
14f96089,A Zampa,NEAR_IMPOSSIBLE,35,5.8,68,11.66,25.71,28.57,14.29,2,17.5
bbd41817,AD Russell,BUILDING,39,6.5,60,9.23,35.9,23.08,5.13,4,9.75
bbd41817,AD Russell,COMFORTABLE,41,6.8,93,13.61,26.83,36.59,14.63,2,20.5
bbd41817,AD Russell,EXTREME,28,4.7,53,11.36,32.14,21.43,17.86,3,9.33
bbd41817,AD Russell,HIGH,59,9.8,99,10.07,33.9,22.03,6.78,5,11.8
bbd41817,AD Russell,NEAR_IMPOSSIBLE,61,10.2,108,10.62,31.15,21.31,14.75,6,10.17
4d7f517e,AJ Hosein,HIGH,19,3.2,27,8.53,26.32,15.79,10.53,1,19.0
6a26221c,AK Markram,BUILDING,36,6.0,56,9.33,25.0,16.67,11.11,1,36.0
6a26221c,AK Markram,COMFORTABLE,43,7.2,57,7.95,32.56,13.95,4.65,3,14.33
2e171977,AR Patel,BUILDING,80,13.3,89,6.68,35.0,10.0,2.5,4,20.0
2e171977,AR Patel,COMFORTABLE,52,8.7,53,6.12,40.38,11.54,0.0,2,26.0
2e171977,AR Patel,EXTREME,66,11.0,102,9.27,24.24,19.7,6.06,3,22.0
2e171977,AR Patel,HIGH,72,12.0,92,7.67,36.11,15.28,6.94,3,24.0
2e171977,AR Patel,NEAR_IMPOSSIBLE,18,3.0,29,9.67,11.11,16.67,11.11,0,
b0946605,AS Joseph,BUILDING,20,3.3,37,11.1,25.0,15.0,15.0,0,
b0946605,AS Joseph,EXTREME,22,3.7,46,12.55,13.64,27.27,13.64,1,22.0
b0946605,AS Joseph,HIGH,26,4.3,47,10.85,46.15,26.92,15.38,1,26.0
e4cdf230,AS Roy,BUILDING,15,2.5,24,9.6,33.33,20.0,13.33,1,15.0
e4cdf230,AS Roy,COMFORTABLE,40,6.7,57,8.55,45.0,22.5,7.5,2,20.0
e4cdf230,AS Roy,EXTREME,18,3.0,44,14.67,22.22,44.44,11.11,0,
e4cdf230,AS Roy,HIGH,21,3.5,21,6.0,33.33,9.52,0.0,1,21.0
249d60c9,AU Rashid,COMFORTABLE,18,3.0,23,7.67,44.44,16.67,5.56,2,9.0
f29185a1,Abhishek Sharma,BUILDING,40,6.7,64,9.6,35.0,22.5,12.5,1,40.0
f29185a1,Abhishek Sharma,COMFORTABLE,18,3.0,36,12.0,16.67,33.33,5.56,0,
f29185a1,Abhishek Sharma,EXTREME,22,3.7,40,10.91,40.91,27.27,18.18,1,22.0
f29185a1,Abhishek Sharma,HIGH,31,5.2,38,7.35,22.58,9.68,0.0,1,31.0
f29185a1,Abhishek Sharma,NEAR_IMPOSSIBLE,33,5.5,62,11.27,33.33,30.3,12.12,1,33.0
0a67aec0,Akash Deep,BUILDING,22,3.7,51,13.91,27.27,40.91,9.09,1,22.0
0a67aec0,Akash Deep,EXTREME,24,4.0,43,10.75,33.33,25.0,8.33,0,
0a67aec0,Akash Deep,HIGH,51,8.5,107,12.59,35.29,31.37,11.76,2,25.5
0a67aec0,Akash Deep,NEAR_IMPOSSIBLE,15,2.5,28,11.2,26.67,26.67,13.33,1,15.0
4bd09374,Akash Madhwal,COMFORTABLE,30,5.0,26,5.2,33.33,3.33,0.0,4,7.5
4bd09374,Akash Madhwal,EXTREME,32,5.3,60,11.25,37.5,28.13,12.5,2,16.0
4bd09374,Akash Madhwal,HIGH,26,4.3,37,8.54,46.15,23.08,3.85,4,6.5
4bd09374,Akash Madhwal,NEAR_IMPOSSIBLE,23,3.8,30,7.83,47.83,17.39,4.35,2,11.5
b483905d,Akash Singh,EXTREME,46,7.7,66,8.61,36.96,23.91,2.17,2,23.0
b483905d,Akash Singh,HIGH,51,8.5,88,10.35,37.25,27.45,9.8,2,25.5
12314277,Arshad Khan,BUILDING,42,7.0,54,7.71,45.24,19.05,2.38,0,
12314277,Arshad Khan,COMFORTABLE,38,6.3,108,17.05,26.32,52.63,18.42,1,38.0
