bowler_id,bowler_name,pressure_type,legal_balls,overs,runs_conceded,wickets,dot_balls,boundaries,sixes,pressure_economy,pressure_dot_pct,pressure_strike_rate,pressure_boundary_pct,pressure_six_pct
462411b3,JJ Bumrah,death_pressure,199.0,33.2,227.0,21.0,71.0,23.0,7.0,6.84,35.68,9.48,11.56,3.52
9d430b40,SP Narine,death_pressure,102.0,17.0,127.0,8.0,32.0,11.0,5.0,7.47,31.37,12.75,10.78,4.9
8d2c70ad,Kuldeep Yadav,death_pressure,156.0,26.0,203.0,9.0,49.0,18.0,12.0,7.81,31.41,17.33,11.54,7.69
efc04be7,Noor Ahmad,death_pressure,127.0,21.2,178.0,13.0,54.0,19.0,10.0,8.41,42.52,9.77,14.96,7.87
5b7ab5a9,CV Varun,death_pressure,166.0,27.7,238.0,11.0,64.0,26.0,20.0,8.6,38.55,15.09,15.66,12.05
64839cb3,M Pathirana,death_pressure,385.0,64.2,607.0,33.0,123.0,66.0,28.0,9.46,31.95,11.67,17.14,7.27
2ed569a0,RD Chahar,death_pressure,70.0,11.7,112.0,5.0,18.0,12.0,6.0,9.6,25.71,14.0,17.14,8.57
ee1b6c27,N Thushara,death_pressure,66.0,11.0,107.0,2.0,14.0,10.0,4.0,9.73,21.21,33.0,15.15,6.06
13fc5c6d,DS Rathi,death_pressure,60.0,10.0,98.0,4.0,15.0,12.0,6.0,9.8,25.0,15.0,20.0,10.0
77b1aa15,Harshit Rana,death_pressure,157.0,26.2,257.0,14.0,53.0,35.0,16.0,9.82,33.76,11.21,22.29,10.19
eef2536f,Avesh Khan,death_pressure,314.0,52.3,521.0,24.0,78.0,66.0,21.0,9.96,24.84,13.08,21.02,6.69
c0c411cb,Naveen-ul-Haq,death_pressure,160.0,26.7,266.0,12.0,47.0,29.0,13.0,9.98,29.38,13.33,18.13,8.13
2f49c897,Mohammed Siraj,death_pressure,252.0,42.0,422.0,19.0,88.0,58.0,18.0,10.05,34.92,13.26,23.02,7.14
57ee1fde,YS Chahal,death_pressure,198.0,33.0,334.0,22.0,58.0,40.0,23.0,10.12,29.29,9.0,20.2,11.62
