bowler_id,bowler_name,pp_overs,middle_overs,death_overs,pp_matches,middle_matches,death_matches,matches_with_death_16plus,total_death_balls_16plus,role_tags
9061a703,J Little,13.0,16.0,9.0,7.0,8.0,8.0,8,54.0,"DEATH_SPECIALIST, NEW_BALL_SPECIALIST, WORKHORSE"
bbd41817,AD Russell,7.0,31.0,28.0,6.0,21.0,21.0,16,149.0,"MIDDLE_AND_DEATH_SPECIALIST, WORKHORSE"
d9273ee7,MP Stoinis,9.0,26.0,5.0,6.0,16.0,5.0,4,27.0,"MIDDLE_OVERS_CONTROLLER, WORKHORSE"
ffe699c0,CJ Jordan,6.0,6.0,10.0,5.0,5.0,6.0,6,60.0,
1e66c162,JD Unadkat,18.0,31.0,15.0,11.0,18.0,13.0,12,84.0,"MIDDLE_AND_DEATH_SPECIALIST, NEW_BALL_SPECIALIST, WORKHORSE"
650d5e49,R Powell,0.0,1.0,1.0,0.0,1.0,1.0,1,6.0,
765a4731,Mukesh Choudhary,5.0,0.0,2.0,3.0,0.0,1.0,1,12.0,
9a5f2863,Mohit Rathee,0.0,2.0,0.0,0.0,1.0,0.0,0,0.0,
1ee08e9a,JA Richardson,1.0,2.0,1.0,1.0,1.0,1.0,1,6.0,
c27b5a0e,PVSN Raju,1.0,1.0,2.0,1.0,1.0,1.0,1,12.0,
8d92a2c3,MA Wood,4.0,5.0,7.0,4.0,4.0,4.0,4,42.0,
2e171977,AR Patel,30.0,90.0,7.0,20.0,36.0,7.0,7,42.0,"MIDDLE_OVERS_CONTROLLER, NEW_BALL_SPECIALIST"
107c26fb,KT Maphaka,7.0,2.0,2.0,4.0,2.0,2.0,2,12.0,
81c36ee9,M Jansen,43.0,30.0,12.0,25.0,19.0,10.0,9,67.0,"MIDDLE_AND_DEATH_SPECIALIST, NEW_BALL_SPECIALIST, WORKHORSE"
8f6dd463,Azmatullah Omarzai,27.0,13.0,8.0,14.0,8.0,6.0,6,48.0,"DEATH_SPECIALIST, NEW_BALL_SPECIALIST, WORKHORSE"
798cc28e,KM Asif,3.0,8.0,3.0,2.0,4.0,3.0,3,19.0,
529eb9e0,OC McCoy,0.0,0.0,1.0,0.0,0.0,1.0,1,6.0,
aad0c365,Nithish Kumar Reddy,3.0,15.0,6.0,2.0,11.0,4.0,4,31.0,
aa8d28ae,D Wiese,2.0,1.0,0.0,1.0,1.0,0.0,0,0.0,
4d7f517e,AJ Hosein,3.0,1.0,0.0,1.0,1.0,0.0,0,0.0,
3a60e0b5,WD Parnell,17.0,4.0,5.0,7.0,4.0,5.0,4,25.0,
2f49c897,Mohammed Siraj,98.0,21.0,42.0,43.0,19.0,36.0,36,252.0,"MIDDLE_AND_DEATH_SPECIALIST, NEW_BALL_SPECIALIST, WORKHORSE"
04a418e8,R Parag,1.0,21.0,1.0,1.0,11.0,1.0,1,6.0,
25228673,Harsh Dubey,2.0,8.0,0.0,1.0,3.0,0.0,0,0.0,
26989d80,Shashank Singh,0.0,2.0,1.0,0.0,2.0,1.0,1,6.0,
12b610c2,TM Head,0.0,2.0,0.0,0.0,1.0,0.0,0,0.0,
fa2f1dde,K Khejroliya,2.0,3.0,3.0,2.0,1.0,2.0,1,14.0,
23eeb873,DL Chahar,81.0,11.0,8.0,32.0,11.0,7.0,6,43.0,NEW_BALL_SPECIALIST
e94915e6,SM Curran,41.0,30.0,30.0,28.0,21.0,21.0,21,179.0,"MIDDLE_AND_DEATH_SPECIALIST, NEW_BALL_SPECIALIST, WORKHORSE"
2ed569a0,RD Chahar,1.0,69.0,12.0,1.0,24.0,11.0,10,70.0,MIDDLE_AND_DEATH_SPECIALIST
759ac88f,MM Sharma,10.0,50.0,49.0,7.0,28.0,27.0,26,289.0,"MIDDLE_AND_DEATH_SPECIALIST, WORKHORSE"
