team_name,player_name,player_id,role,bowling_type,bowling_type_secondary,is_ipl_uncapped,ipl_batting_innings,ipl_batting_balls,ipl_batting_runs,ipl_batting_sr,ipl_bowling_matches,ipl_bowling_balls,ipl_bowling_wickets,ipl_bowling_economy
Chennai Super Kings,MS Dhoni,4a8a2e3b,Wicketkeeper,Medium,,False,241.0,3935.0,5439.0,138.22,0.0,0.0,0.0,0.0
Chennai Super Kings,Sanju Samson,a4cc73aa,Wicketkeeper,Medium,,False,171.0,3368.0,4704.0,139.67,0.0,0.0,0.0,0.0
Chennai Super Kings,Ruturaj Gaikwad,45a43fe2,Batter,Medium,,False,70.0,1811.0,2502.0,138.16,0.0,0.0,0.0,0.0
Chennai Super Kings,Shivam Dube,a4e37e47,All-rounder,Medium,,False,75.0,1290.0,1859.0,144.11,15.0,124.0,5.0,10.79
Chennai Super Kings,Sarfaraz Khan,f088b960,Batter,Leg-spin,,False,36.0,444.0,585.0,131.76,1.0,2.0,0.0,18.0
Chennai Super Kings,Dewald Brevis,844e79d1,All-rounder,Off-spin,,False,16.0,297.0,455.0,153.2,1.0,3.0,1.0,16.0
Chennai Super Kings,Ayush Mhatre,b2b4f545,Batter,Medium,,False,7.0,127.0,240.0,188.98,0.0,0.0,0.0,0.0
Chennai Super Kings,Shreyas Gopal,7a8bd078,Bowler,Leg-spin,,False,22.0,169.0,180.0,106.51,51.0,991.0,52.0,8.22
Chennai Super Kings,Rahul Chahar,2ed569a0,Bowler,Leg-spin,,False,22.0,124.0,129.0,104.03,78.0,1670.0,75.0,7.81
Chennai Super Kings,Matthew Short,a90e53ec,All-rounder,Off-spin,,False,6.0,92.0,117.0,127.17,3.0,24.0,0.0,6.25
Chennai Super Kings,Urvil Patel,cf59b3f0,Wicketkeeper,Medium,,False,3.0,32.0,68.0,212.5,0.0,0.0,0.0,0.0
Chennai Super Kings,Aman Khan,eef2536f,All-rounder,Medium,,False,13.0,37.0,62.0,167.57,75.0,1619.0,87.0,9.25
Chennai Super Kings,Noor Ahmad,efc04be7,Bowler,Left-arm wrist spin,,False,11.0,35.0,20.0,57.14,37.0,792.0,48.0,8.24
Chennai Super Kings,Nathan Ellis,9eb1455b,Bowler,Fast,,False,5.0,25.0,19.0,76.0,17.0,378.0,19.0,8.78
Chennai Super Kings,Akeal Hosein,4d7f517e,Bowler,Left-arm orthodox,,False,1.0,10.0,16.0,160.0,1.0,24.0,1.0,10.25
Chennai Super Kings,Anshul Kamboj,fcc21ace,Bowler,Fast,,False,6.0,14.0,16.0,114.29,11.0,189.0,10.0,9.14
Chennai Super Kings,Jamie Overton,59559bc2,All-rounder,Fast,,False,2.0,7.0,15.0,214.29,3.0,36.0,0.0,14.0
Chennai Super Kings,Mukesh Choudhary,765a4731,Bowler,Fast,,False,2.0,6.0,6.0,100.0,16.0,315.0,17.0,9.96
Chennai Super Kings,Khaleel Ahmed,a2f46292,Bowler,Fast,,False,6.0,9.0,2.0,22.22,71.0,1556.0,89.0,9.15
Chennai Super Kings,Gurjapneet Singh,uncapped_gurjapneet_singh,Bowler,Fast,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Kartik Sharma,uncapped_kartik_sharma,Wicketkeeper,Medium,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Matt Henry,e84ac20c,Bowler,Fast,,False,0.0,0.0,0.0,0.0,6.0,102.0,2.0,10.76
Chennai Super Kings,Prashant Veer,e148e6bd,All-rounder,Left-arm orthodox,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Ramakrishna Ghosh,,Bowler,Fast,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Zak Foulkes,30f92334,Bowler,Fast,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi Capitals,KL Rahul,b17e2f24,Wicketkeeper,Medium,,False,135.0,3828.0,5222.0,136.42,0.0,0.0,0.0,0.0
Delhi Capitals,David Miller,d67d5f00,Batter,Off-spin,,False,133.0,2212.0,3077.0,139.1,0.0,0.0,0.0,0.0
Delhi Capitals,Nitish Rana,fb2d1dda,Batter,Off-spin,,False,112.0,2080.0,2853.0,137.16,26.0,192.0,10.0,8.47
Delhi Capitals,Axar Patel,2e171977,All-rounder,Left-arm orthodox,,False,123.0,1426.0,1916.0,134.36,160.0,3315.0,128.0,7.48
Delhi Capitals,Prithvi Shaw,8b3e9c7c,Batter,Leg-spin,,False,79.0,1280.0,1892.0,147.81,0.0,0.0,0.0,0.0
Delhi Capitals,Karun Nair,944533a5,Batter,Off-spin,,False,76.0,1284.0,1694.0,131.93,0.0,0.0,0.0,0.0
Delhi Capitals,Tristan Stubbs,85b3fab2,All-rounder,Off-spin,,False,30.0,431.0,705.0,163.57,5.0,36.0,4.0,11.5
Delhi Capitals,Abhishek Porel,ad3b6e95,Wicketkeeper,Medium,,False,29.0,440.0,661.0,150.23,0.0,0.0,0.0,0.0
