2026-02-14 17:10:26 | INFO     | scripts.ml_ops.model_monitoring | __init__:325 | ModelMonitor initialized with thresholds: AlertThresholds(pca_variance_batter=0.7, pca_variance_bowler=0.5, min_cluster_size=10, feature_drift_ks=0.1, multivariate_drift_mahal=3.0, prediction_latency_warning=1.0, prediction_latency_critical=5.0)
2026-02-14 17:10:26 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:978 | Health report saved to: /Users/dwijeshreddy/cricket-playbook/outputs/monitoring/health_reports/health_report_20260214_171026.json
2026-02-14 17:10:26 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:980 | Health report generated: status=HEALTHY, alerts=0 critical / 0 warning
2026-02-14 17:14:48 | INFO     | scripts.ml_ops.model_monitoring | __init__:325 | ModelMonitor initialized with thresholds: AlertThresholds(pca_variance_batter=0.7, pca_variance_bowler=0.5, min_cluster_size=10, feature_drift_ks=0.1, multivariate_drift_mahal=3.0, prediction_latency_warning=1.0, prediction_latency_critical=5.0)
2026-02-14 17:14:48 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:978 | Health report saved to: /Users/dwijeshreddy/cricket-playbook/outputs/monitoring/health_reports/health_report_20260214_171448.json
2026-02-14 17:14:48 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:980 | Health report generated: status=HEALTHY, alerts=0 critical / 0 warning
2026-02-14 18:35:33 | INFO     | scripts.ml_ops.model_monitoring | __init__:325 | ModelMonitor initialized with thresholds: AlertThresholds(pca_variance_batter=0.7, pca_variance_bowler=0.5, min_cluster_size=10, feature_drift_ks=0.1, multivariate_drift_mahal=3.0, prediction_latency_warning=1.0, prediction_latency_critical=5.0)
2026-02-14 18:35:33 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:978 | Health report saved to: /Users/dwijeshreddy/cricket-playbook/outputs/monitoring/health_reports/health_report_20260214_183533.json
2026-02-14 18:35:33 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:980 | Health report generated: status=HEALTHY, alerts=0 critical / 0 warning
2026-02-14 18:41:31 | INFO     | scripts.ml_ops.model_monitoring | __init__:325 | ModelMonitor initialized with thresholds: AlertThresholds(pca_variance_batter=0.7, pca_variance_bowler=0.5, min_cluster_size=10, feature_drift_ks=0.1, multivariate_drift_mahal=3.0, prediction_latency_warning=1.0, prediction_latency_critical=5.0)
2026-02-14 18:41:31 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:978 | Health report saved to: /Users/dwijeshreddy/cricket-playbook/outputs/monitoring/health_reports/health_report_20260214_184131.json
2026-02-14 18:41:31 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:980 | Health report generated: status=HEALTHY, alerts=0 critical / 0 warning
