batter_id,batter_name,pace_balls,pace_sr,pace_avg,pace_dismissals,spin_balls,spin_sr,spin_avg,spin_dismissals,bowling_type_tags
872b03f7,A Badoni,36,152.78,27.5,2.0,35,154.29,,0.0,SPECIALIST_VS_PACE
bbd41817,AD Russell,34,185.29,31.5,2.0,0,0.0,,0.0,SPECIALIST_VS_PACE
6a26221c,AK Markram,40,172.5,23.0,3.0,40,132.5,26.5,2.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_OFF_SPIN"
29e95537,AM Rahane,58,200.0,19.33,6.0,44,95.45,14.0,3.0,"VULNERABLE_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_OFF_SPIN"
2e171977,AR Patel,46,143.48,22.0,3.0,0,0.0,,0.0,SPECIALIST_VS_PACE
8e514b4c,Abdul Samad,47,144.68,22.67,3.0,0,0.0,,0.0,SPECIALIST_VS_PACE
f29185a1,Abhishek Sharma,33,166.67,18.33,3.0,43,174.42,25.0,3.0,VULNERABLE_VS_PACE
ad3b6e95,Abishek Porel,33,206.06,34.0,2.0,31,100.0,15.5,2.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_OFF_SPIN"
d5130a30,B Sai Sudharsan,103,161.17,27.67,6.0,64,160.94,103.0,1.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_OFF_SPIN"
eaa76d3c,C Green,0,0.0,,0.0,31,100.0,15.5,2.0,"VULNERABLE_VS_SPIN, VULNERABLE_VS_OFF_SPIN"
2c25d4f5,D Padikkal,0,0.0,,0.0,43,127.91,27.5,2.0,
d67d5f00,DA Miller,63,171.43,54.0,2.0,0,0.0,,0.0,SPECIALIST_VS_PACE
dcce6f09,DA Warner,90,115.56,34.67,3.0,36,122.22,,0.0,
eade4650,DJ Mitchell,48,139.58,33.5,2.0,0,0.0,,0.0,SPECIALIST_VS_PACE
