batter_id,batter_name,innings_count,mean_entry_ball,median_entry_ball,mode_entry_ball,mean_entry_over,median_entry_over,mode_entry_over,position_category,min_entry_ball,max_entry_ball
00ea847a,MA Agarwal,18,16.0,7.0,0,2.67,1.17,0.0,TOP_ORDER,1,78
04a418e8,R Parag,35,47.2,46.0,48,7.87,7.67,8.0,MIDDLE_ORDER,6,92
0994d0ae,V Shankar,22,60.1,65.0,72,10.02,10.83,12.0,LOWER_ORDER,16,116
0a476045,S Dhawan,16,4.3,3.0,0,0.72,0.5,0.0,OPENER,1,13
0a509d6b,RK Singh,36,68.9,71.0,72,11.49,11.83,12.0,LOWER_ORDER,27,112
0bacade8,Rahmanullah Gurbaz,18,5.0,1.0,0,0.83,0.17,0.0,OPENER,1,52
12b610c2,TM Head,27,2.5,2.0,0,0.42,0.33,0.0,OPENER,1,12
1abb78f8,SN Thakur,17,94.2,99.0,96,15.7,16.5,16.0,LOWER_ORDER,18,118
235c2bb6,H Klaasen,39,54.8,54.0,54,9.14,9.0,9.0,MIDDLE_ORDER,14,110
26989d80,Shashank Singh,28,67.2,63.5,54,11.2,10.58,9.0,LOWER_ORDER,14,112
271f83cd,SA Yadav,43,39.2,38.0,18,6.53,6.33,3.0,MIDDLE_ORDER,6,96
29e95537,AM Rahane,35,19.5,15.0,0,3.25,2.5,0.0,TOP_ORDER,1,70
2c25d4f5,D Padikkal,28,30.4,24.0,6,5.07,4.0,1.0,TOP_ORDER,3,98
2e171977,AR Patel,36,64.7,73.0,90,10.78,12.17,15.0,LOWER_ORDER,11,110
2e81a32d,B Kumar,16,98.6,106.5,108,16.43,17.75,18.0,LOWER_ORDER,51,120
3241e3fd,N Pooran,43,59.1,62.0,60,9.85,10.33,10.0,LOWER_ORDER,5,97
3355b542,F du Plessis,38,4.0,3.5,0,0.66,0.58,0.0,OPENER,1,10
372455c4,Q de Kock,23,1.7,1.0,0,0.29,0.17,0.0,OPENER,1,7
39a2dfa8,R Tewatia,30,95.5,99.0,114,15.91,16.5,19.0,LOWER_ORDER,37,120
3d284ca3,PD Salt,34,5.7,1.0,0,0.95,0.17,0.0,OPENER,1,92
3d8feaf8,MR Marsh,26,11.0,4.0,0,1.83,0.67,0.0,OPENER,1,66
45a43fe2,RD Gaikwad,34,4.6,1.5,0,0.76,0.25,0.0,OPENER,1,40
48a1d7b7,SO Hetmyer,35,82.6,86.0,78,13.76,14.33,13.0,LOWER_ORDER,27,113
495d42a5,R Ashwin,21,73.1,69.0,108,12.18,11.5,18.0,LOWER_ORDER,6,119
4a8a2e3b,MS Dhoni,36,101.9,101.5,114,16.99,16.92,19.0,LOWER_ORDER,65,120
50c6bc2b,LS Livingstone,24,50.0,48.0,66,8.33,8.0,11.0,MIDDLE_ORDER,9,95
5b8c830e,KH Pandya,32,68.6,73.5,102,11.44,12.25,17.0,LOWER_ORDER,3,120
5f547c8b,Rashid Khan,25,103.6,111.0,114,17.26,18.5,19.0,LOWER_ORDER,53,120
6a26221c,AK Markram,37,26.9,21.0,0,4.49,3.5,0.0,TOP_ORDER,1,107
6c19c6e5,YBK Jaiswal,43,1.0,1.0,0,0.17,0.17,0.0,OPENER,1,1
73ad96ed,DJ Hooda,26,48.5,45.5,42,8.09,7.58,7.0,MIDDLE_ORDER,1,118
740742ef,RG Sharma,45,3.2,2.0,0,0.53,0.33,0.0,OPENER,1,13
752f7486,Ishan Kishan,42,11.6,3.0,0,1.93,0.5,0.0,OPENER,1,99
77255a9e,RA Tripathi,24,16.3,15.0,0,2.72,2.5,0.0,TOP_ORDER,2,36
7dcb9bc9,M Shahrukh Khan,30,87.0,95.5,108,14.5,15.92,18.0,LOWER_ORDER,24,120
800d2d97,JM Sharma,37,67.4,69.0,90,11.23,11.5,15.0,LOWER_ORDER,9,107
81c36ee9,M Jansen,16,93.5,99.5,114,15.58,16.58,19.0,LOWER_ORDER,41,118
84d9c311,Ashutosh Sharma,18,84.0,90.0,90,14.0,15.0,15.0,LOWER_ORDER,41,117
85b3fab2,T Stubbs,28,70.4,74.5,72,11.73,12.42,12.0,LOWER_ORDER,28,104
85ec8e33,SS Iyer,31,38.1,30.0,18,6.35,5.0,3.0,MIDDLE_ORDER,2,94
872b03f7,A Badoni,35,66.7,66.0,54,11.12,11.0,9.0,LOWER_ORDER,7,112
8b3e9c7c,PP Shaw,16,2.1,1.0,0,0.34,0.17,0.0,OPENER,1,7
8d2c70ad,Kuldeep Yadav,20,109.0,112.0,108,18.18,18.67,18.0,LOWER_ORDER,82,120
8e514b4c,Abdul Samad,32,85.7,86.5,102,14.28,14.42,17.0,LOWER_ORDER,38,120
919a3be2,RR Pant,26,47.7,47.0,48,7.96,7.83,8.0,MIDDLE_ORDER,2,119
9418198b,P Simran Singh,46,5.8,3.0,0,0.96,0.5,0.0,OPENER,1,71
