player_id,player_name,innings,avg_entry_ball,median_entry_ball,min_entry,max_entry,entry_point_classification,mode_batting_position,mean_batting_position,avg_entry_over,avg_wickets_at_entry
872b03f7,A Badoni,35,69.4,69.4,3,8,FINISHER,6,5.5,10.5,3.5
fcc21ace,A Kamboj,6,112.8,112.8,9,11,LOWER_ORDER,9,9.5,17.3,7.5
0890552f,A Manohar,13,71.4,71.4,4,7,FINISHER,7,5.8,10.8,3.9
b2b4f545,A Mhatre,7,4.6,4.6,1,3,OPENER,1,1.7,0.4,0.3
6b19d823,A Mishra,1,70.0,70.0,9,9,LOWER_ORDER,9,9.0,11.0,7.0
acdc62f5,A Nortje,9,114.1,114.1,9,10,LOWER_ORDER,10,9.6,17.7,7.7
d7017798,A Raghuvanshi,18,37.4,37.4,2,9,NUMBER_3,3,3.9,5.3,2.1
14f96089,A Zampa,3,89.7,89.7,8,10,LOWER_ORDER,9,9.0,13.7,7.3
2d140b79,AA Kulkarni,2,3.5,3.5,2,2,OPENER,2,2.0,0.0,0.0
bbd41817,AD Russell,33,84.6,84.6,4,8,FINISHER,6,6.3,12.9,4.3
4d7f517e,AJ Hosein,1,113.0,113.0,8,8,LOWER_ORDER,8,8.0,17.0,6.0
ff1e12a0,AJ Turner,2,83.5,83.5,6,7,FINISHER,7,6.5,12.5,4.5
6a26221c,AK Markram,37,27.9,27.9,1,5,MIDDLE_ORDER,4,3.0,3.9,1.2
29e95537,AM Rahane,35,20.3,20.3,1,4,NUMBER_3,3,2.6,2.7,0.9
2e171977,AR Patel,36,67.1,67.1,3,8,FINISHER,6,5.8,10.1,3.8
b0946605,AS Joseph,1,81.0,81.0,10,10,LOWER_ORDER,10,10.0,13.0,8.0
e4cdf230,AS Roy,6,94.3,94.3,3,9,LOWER_ORDER,9,7.8,14.2,5.8
70d205c9,AT Rayudu,12,76.1,76.1,4,6,MIDDLE_ORDER,5,5.0,11.7,3.0
249d60c9,AU Rashid,2,93.0,93.0,8,8,LOWER_ORDER,8,8.0,14.5,6.0
cc777ffa,Abdul Basith,1,125.0,125.0,8,8,LOWER_ORDER,8,8.0,19.0,6.0
8e514b4c,Abdul Samad,32,89.6,89.6,4,8,FINISHER,7,6.6,13.6,4.6
f29185a1,Abhishek Sharma,40,9.5,9.5,1,5,OPENER,2,2.0,1.1,0.3
ad3b6e95,Abishek Porel,29,30.2,30.2,1,9,NUMBER_3,3,3.7,4.2,1.9
0a67aec0,Akash Deep,4,116.5,116.5,8,11,LOWER_ORDER,8,9.5,17.5,7.8
4bd09374,Akash Madhwal,2,95.5,95.5,11,11,LOWER_ORDER,11,11.0,14.5,9.0
378daa89,Aman Hakim Khan,9,77.9,77.9,6,8,FINISHER,7,7.1,11.9,5.2
a3b0600d,Aniket Verma,12,78.8,78.8,5,7,FINISHER,6,5.7,11.7,3.7
1399b39c,Anmolpreet Singh,6,7.0,7.0,1,3,OPENER,1,1.7,0.8,0.3
c8f5f961,Anuj Rawat,12,78.2,78.2,3,8,FINISHER,6,6.1,12.0,4.2
44aac2f0,Arjun Tendulkar,1,106.0,106.0,9,9,LOWER_ORDER,9,9.0,17.0,7.0
12314277,Arshad Khan,11,100.7,100.7,6,9,LOWER_ORDER,9,7.7,15.4,5.8
244048f6,Arshdeep Singh,4,108.0,108.0,10,11,LOWER_ORDER,11,10.8,16.5,8.8
84d9c311,Ashutosh Sharma,18,86.5,86.5,6,8,FINISHER,7,7.3,13.4,5.3
1ac746c8,Atharva Taide,10,6.8,6.8,1,3,OPENER,1,1.9,0.7,0.5
eef2536f,Avesh Khan,7,119.0,119.0,8,11,LOWER_ORDER,10,9.6,18.0,7.6
8f6dd463,Azmatullah Omarzai,9,75.1,75.1,4,9,MIDDLE_ORDER,4,6.1,11.2,4.1
2e81a32d,B Kumar,16,103.1,103.1,8,11,LOWER_ORDER,9,9.3,15.8,7.3
d5130a30,B Sai Sudharsan,35,11.5,11.5,1,4,OPENER,1,1.9,1.5,0.5
e087956b,BA Stokes,2,62.0,62.0,4,5,MIDDLE_ORDER,4,4.5,9.0,2.5
5d1e7582,BKG Mendis,1,5.0,5.0,3,3,NUMBER_3,3,3.0,0.0,1.0
c2dd89ea,BR Sharath,1,49.0,49.0,4,4,MIDDLE_ORDER,4,4.0,7.0,2.0
172dff15,C Bosch,2,98.0,98.0,8,8,LOWER_ORDER,8,8.0,15.0,6.0
eaa76d3c,C Green,28,49.3,49.3,1,7,NUMBER_3,3,4.1,7.3,2.3
2cdce1be,C Sakariya,2,124.0,124.0,10,11,LOWER_ORDER,11,10.5,19.0,8.5
ffe699c0,CJ Jordan,2,103.0,103.0,8,8,LOWER_ORDER,8,8.0,15.5,6.0
5b7ab5a9,CV Varun,3,117.7,117.7,10,11,LOWER_ORDER,11,10.7,17.3,8.7
844e79d1,D Brevis,9,41.8,41.8,2,7,MIDDLE_ORDER,5,4.8,6.1,2.8
f0af99a7,D Ferreira,3,104.0,104.0,7,8,LOWER_ORDER,8,7.7,15.7,5.7
2c25d4f5,D Padikkal,28,31.5,31.5,2,6,NUMBER_3,3,3.3,4.3,1.4
aa8d28ae,D Wiese,3,112.7,112.7,7,8,LOWER_ORDER,8,7.7,17.3,5.7
d67d5f00,DA Miller,32,76.2,76.2,3,6,MIDDLE_ORDER,5,5.1,11.6,3.1
dcce6f09,DA Warner,22,2.7,2.7,1,4,OPENER,1,1.5,0.2,0.2
cd8d2859,DG Nalkande,2,86.5,86.5,6,9,LOWER_ORDER,9,7.5,12.5,5.5
73ad96ed,DJ Hooda,26,51.0,51.0,1,8,MIDDLE_ORDER,4,4.5,7.4,2.6
eade4650,DJ Mitchell,13,42.6,42.6,2,8,NUMBER_3,3,4.0,6.2,2.2
7f048519,DJ Willey,3,100.7,100.7,9,11,LOWER_ORDER,9,9.7,15.7,7.7
23eeb873,DL Chahar,5,114.8,114.8,9,9,LOWER_ORDER,9,9.0,17.8,7.0
df5a6881,DP Conway,21,4.7,4.7,1,3,OPENER,2,2.0,0.3,0.0
13fc5c6d,DS Rathi,1,119.0,119.0,11,11,LOWER_ORDER,11,11.0,18.0,9.0
bcf325d2,Dhruv Jurel,35,80.5,80.5,4,8,MIDDLE_ORDER,5,5.7,12.3,3.7
3355b542,F du Plessis,38,4.1,4.1,1,3,OPENER,2,2.1,0.1,0.1
e9c7f0d0,Fazalhaq Farooqi,2,119.5,119.5,11,11,LOWER_ORDER,11,11.0,18.5,9.0
3204c99f,G Coetzee,7,104.4,104.4,7,9,LOWER_ORDER,9,8.4,16.0,6.6
9a46c4e5,GD Phillips,5,92.0,92.0,4,6,FINISHER,6,5.6,14.2,3.6
b681e71e,GJ Maxwell,29,60.5,60.5,3,6,MIDDLE_ORDER,4,4.3,9.2,2.3
9f77963a,Gulbadin Naib,1,85.0,85.0,7,7,FINISHER,7,7.0,13.0,5.0
235c2bb6,H Klaasen,39,57.8,57.8,3,6,MIDDLE_ORDER,5,4.9,8.5,2.9
4ae1755b,HC Brook,11,32.6,32.6,1,6,OPENER,1,3.1,4.7,1.6
dbe50b21,HH Pandya,40,66.4,66.4,3,8,MIDDLE_ORDER,4,4.8,10.1,2.8
0c9652b0,HR Shokeen,3,106.0,106.0,8,9,LOWER_ORDER,9,8.7,16.3,6.7
f986ca1a,HV Patel,10,95.6,95.6,5,10,LOWER_ORDER,10,8.5,14.7,6.6
c05edf8e,Harpreet Brar,17,102.0,102.0,6,10,LOWER_ORDER,9,8.5,15.6,6.6
28c78fb3,Harpreet Singh,5,40.4,40.4,4,8,MIDDLE_ORDER,5,5.6,5.8,3.6
77b1aa15,Harshit Rana,8,105.6,105.6,9,10,LOWER_ORDER,10,9.5,15.9,7.5
5bb1a1c4,I Sharma,3,111.0,111.0,11,11,LOWER_ORDER,11,11.0,17.3,9.0
752f7486,Ishan Kishan,42,12.3,12.3,1,4,OPENER,1,2.1,1.5,0.5
9b6e1b3f,J Fraser-McGurk,15,3.7,3.7,1,3,OPENER,1,1.5,0.2,0.1
59559bc2,J Overton,2,119.0,119.0,7,8,FINISHER,7,7.5,18.5,5.5
1ee08e9a,JA Richardson,1,121.0,121.0,9,9,LOWER_ORDER,9,9.0,19.0,7.0
5574750c,JC Archer,9,106.2,106.2,8,9,LOWER_ORDER,8,8.3,16.3,6.3
99b75528,JC Buttler,38,16.4,16.4,2,3,OPENER,2,2.4,2.0,0.5
1e66c162,JD Unadkat,6,111.5,111.5,8,11,LOWER_ORDER,10,10.0,17.0,8.0
a343262c,JE Root,1,11.0,11.0,4,4,MIDDLE_ORDER,4,4.0,1.0,2.0
3c55c703,JG Bethell,2,1.0,1.0,1,1,OPENER,1,1.0,0.0,0.0
462411b3,JJ Bumrah,5,119.4,119.4,10,11,LOWER_ORDER,11,10.6,18.2,8.8
d1c36f5c,JJ Roy,8,6.6,6.6,1,5,OPENER,1,1.5,0.9,0.4
abb83e27,JM Bairstow,13,4.7,4.7,2,3,OPENER,2,2.2,0.2,0.2
800d2d97,JM Sharma,37,70.0,70.0,4,7,MIDDLE_ORDER,5,5.5,10.6,3.5
0f721006,JO Holder,3,107.7,107.7,5,9,LOWER_ORDER,8,7.3,16.0,5.3
4933f499,JP Behrendorff,2,106.5,106.5,10,11,LOWER_ORDER,11,10.5,16.5,8.5
989889ff,JP Inglis,11,37.5,37.5,3,6,NUMBER_3,3,3.8,5.5,1.8
03806cf8,JR Hazlewood,2,96.0,96.0,11,11,LOWER_ORDER,11,11.0,15.0,9.0
90de905a,K Gowtham,7,100.6,100.6,7,10,LOWER_ORDER,8,8.1,15.3,6.1
f6d8a7ab,K Kartikeya,3,97.0,97.0,9,10,LOWER_ORDER,10,9.7,15.0,7.7
e62dd25d,K Rabada,7,118.9,118.9,6,11,LOWER_ORDER,11,9.7,18.0,8.0
68c56d09,KA Jamieson,2,96.0,96.0,9,11,LOWER_ORDER,9,10.0,15.0,8.0
0b60eb09,KA Maharaj,1,115.0,115.0,8,8,LOWER_ORDER,8,8.0,18.0,6.0
c03f1114,KD Karthik,26,91.0,91.0,3,8,FINISHER,6,6.1,14.0,4.2
5b8c830e,KH Pandya,32,71.6,71.6,2,8,FINISHER,7,6.0,10.8,4.0
a2f46292,KK Ahmed,1,111.0,111.0,11,11,LOWER_ORDER,11,11.0,18.0,9.0
944533a5,KK Nair,8,11.3,11.3,1,3,OPENER,2,2.3,1.4,0.6
b17e2f24,KL Rahul,36,13.8,13.8,1,11,OPENER,1,2.5,1.8,0.9
798cc28e,KM Asif,1,64.0,64.0,10,10,LOWER_ORDER,10,10.0,10.0,9.0
99d63244,KM Jadhav,1,89.0,89.0,7,7,FINISHER,7,7.0,14.0,5.0
73c18486,KR Mayers,13,2.6,2.6,1,2,OPENER,2,1.5,0.2,0.0
e3851766,KS Rathore,1,5.0,5.0,3,3,NUMBER_3,3,3.0,0.0,1.0
