bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,lhb_wickets_per_ball,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,rhb_wickets_per_ball,economy_diff,wickets_per_ball_diff,handedness_tags
fcc21ace,A Kamboj,99,10.36,16.5,6.0,0.0606,87,7.86,43.5,2.0,0.023,2.499999999999999,0.0376,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
acdc62f5,A Nortje,132,13.5,33.0,4.0,0.0303,204,10.91,17.0,12.0,0.0588,2.59,-0.028499999999999998,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, RHB_PRESSURE"
bbd41817,AD Russell,81,12.52,16.2,5.0,0.0617,207,10.41,8.28,25.0,0.1208,2.1099999999999994,-0.05910000000000001,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, RHB_PRESSURE"
6a26221c,AK Markram,70,7.46,23.33,3.0,0.0429,61,10.33,30.5,2.0,0.0328,-2.87,0.010099999999999998,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
2e171977,AR Patel,193,9.02,24.13,8.0,0.0415,453,7.71,30.2,15.0,0.0331,1.3099999999999996,0.008400000000000005,"RHB_SPECIALIST, LHB_VULNERABLE"
b0946605,AS Joseph,84,11.36,28.0,3.0,0.0357,114,10.05,57.0,2.0,0.0175,1.3099999999999987,0.0182,"RHB_SPECIALIST, LHB_VULNERABLE"
0a67aec0,Akash Deep,78,11.62,26.0,3.0,0.0385,70,13.63,35.0,2.0,0.0286,-2.0100000000000016,0.009899999999999999,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
4bd09374,Akash Madhwal,67,9.04,13.4,5.0,0.0746,217,10.81,15.5,14.0,0.0645,-1.7700000000000014,0.010099999999999998,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
b483905d,Akash Singh,64,9.47,32.0,2.0,0.0313,73,7.81,14.6,5.0,0.0685,1.660000000000001,-0.037200000000000004,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, LHB_PRESSURE"
244048f6,Arshdeep Singh,302,10.11,13.13,23.0,0.0762,459,9.36,15.83,29.0,0.0632,0.75,0.012999999999999998,
eef2536f,Avesh Khan,213,9.58,23.67,9.0,0.0423,434,10.18,19.73,22.0,0.0507,-0.5999999999999996,-0.008400000000000005,
8f6dd463,Azmatullah Omarzai,95,9.6,13.57,7.0,0.0737,147,9.55,36.75,4.0,0.0272,0.049999999999998934,0.0465,LHB_WICKET_TAKER
2e81a32d,B Kumar,331,9.9,25.46,13.0,0.0393,426,9.49,16.38,26.0,0.061,0.41000000000000014,-0.021699999999999997,RHB_WICKET_TAKER
eaa76d3c,C Green,147,9.27,29.4,5.0,0.034,222,9.05,22.2,10.0,0.045,0.21999999999999886,-0.010999999999999996,
5b7ab5a9,CV Varun,231,8.03,23.1,10.0,0.0433,523,8.04,18.03,29.0,0.0554,-0.009999999999999787,-0.0121,
23eeb873,DL Chahar,164,8.38,14.91,11.0,0.0671,273,9.38,34.13,8.0,0.0293,-1.0,0.03780000000000001,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER, LHB_PRESSURE"
13fc5c6d,DS Rathi,127,8.22,18.14,7.0,0.0551,176,8.32,29.33,6.0,0.0341,-0.09999999999999964,0.021000000000000005,"LHB_WICKET_TAKER, LHB_PRESSURE"
3204c99f,G Coetzee,96,10.94,19.2,5.0,0.0521,143,10.95,20.43,7.0,0.049,-0.009999999999999787,0.0030999999999999986,
b681e71e,GJ Maxwell,134,8.87,19.14,7.0,0.0522,86,7.6,14.33,6.0,0.0698,1.2699999999999996,-0.017599999999999998,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
dbe50b21,HH Pandya,190,9.76,21.11,9.0,0.0474,316,10.04,19.75,16.0,0.0506,-0.27999999999999936,-0.0032000000000000015,RHB_PRESSURE
f986ca1a,HV Patel,254,10.61,13.37,19.0,0.0748,479,10.05,15.97,30.0,0.0626,0.5599999999999987,0.012200000000000003,
c05edf8e,Harpreet Brar,113,8.6,18.83,6.0,0.0531,294,8.24,24.5,12.0,0.0408,0.35999999999999943,0.012299999999999998,
77b1aa15,Harshit Rana,164,9.84,16.4,10.0,0.061,336,10.04,16.0,21.0,0.0625,-0.1999999999999993,-0.0015000000000000013,LHB_PRESSURE
5bb1a1c4,I Sharma,126,10.14,15.75,8.0,0.0635,214,10.51,19.45,11.0,0.0514,-0.3699999999999992,0.0121,LHB_PRESSURE
5574750c,JC Archer,112,11.04,22.4,5.0,0.0446,221,9.75,31.57,7.0,0.0317,1.2899999999999991,0.012900000000000002,"RHB_SPECIALIST, LHB_VULNERABLE"
1e66c162,JD Unadkat,99,9.21,16.5,6.0,0.0606,202,8.35,16.83,12.0,0.0594,0.8600000000000012,0.0011999999999999997,
462411b3,JJ Bumrah,177,6.14,11.06,16.0,0.0904,352,6.85,16.76,21.0,0.0597,-0.71,0.03069999999999999,LHB_WICKET_TAKER
03806cf8,JR Hazlewood,101,9.74,10.1,10.0,0.099,195,8.49,15.0,13.0,0.0667,1.25,0.03230000000000001,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
e62dd25d,K Rabada,153,10.82,30.6,5.0,0.0327,235,9.73,29.38,8.0,0.034,1.0899999999999999,-0.0013000000000000025,"RHB_SPECIALIST, LHB_VULNERABLE"
5b8c830e,KH Pandya,155,8.48,22.14,7.0,0.0452,414,7.2,24.35,17.0,0.0411,1.2800000000000002,0.0040999999999999995,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
