bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,strike_rate_diff,lhb_wickets_per_ball,rhb_wickets_per_ball,wickets_per_ball_diff,handedness_tags
fcc21ace,A Kamboj,99,10.36,16.5,6.0,87,7.86,43.5,2.0,2.499999999999999,-27.0,0.06060606060606061,0.022988505747126436,0.03761755485893417,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
acdc62f5,A Nortje,132,13.5,33.0,4.0,204,10.91,17.0,12.0,2.59,16.0,0.030303030303030304,0.058823529411764705,-0.0285204991087344,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
bbd41817,AD Russell,81,12.52,16.2,5.0,207,10.41,8.28,25.0,2.1099999999999994,7.92,0.06172839506172839,0.12077294685990338,-0.059044551798174985,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
6a26221c,AK Markram,70,7.46,23.33,3.0,61,10.33,30.5,2.0,-2.87,-7.170000000000002,0.04285714285714286,0.03278688524590164,0.010070257611241216,"LHB_SPECIALIST, RHB_VULNERABLE"
2e171977,AR Patel,193,9.02,24.13,8.0,453,7.71,30.2,15.0,1.3099999999999996,-6.07,0.04145077720207254,0.033112582781456956,0.008338194420615584,"RHB_SPECIALIST, LHB_VULNERABLE"
b0946605,AS Joseph,84,11.36,28.0,3.0,114,10.05,57.0,2.0,1.3099999999999987,-29.0,0.03571428571428571,0.017543859649122806,0.018170426065162906,"RHB_SPECIALIST, LHB_VULNERABLE"
0a67aec0,Akash Deep,78,11.62,26.0,3.0,70,13.63,35.0,2.0,-2.0100000000000016,-9.0,0.038461538461538464,0.02857142857142857,0.009890109890109893,"LHB_SPECIALIST, RHB_VULNERABLE"
4bd09374,Akash Madhwal,67,9.04,13.4,5.0,217,10.81,15.5,14.0,-1.7700000000000014,-2.0999999999999996,0.07462686567164178,0.06451612903225806,0.010110736639383722,"LHB_SPECIALIST, RHB_VULNERABLE"
b483905d,Akash Singh,64,9.47,32.0,2.0,73,7.81,14.6,5.0,1.660000000000001,17.4,0.03125,0.0684931506849315,-0.0372431506849315,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
244048f6,Arshdeep Singh,302,10.11,13.13,23.0,459,9.36,15.83,29.0,0.75,-2.6999999999999993,0.076158940397351,0.06318082788671024,0.012978112510640752,
eef2536f,Avesh Khan,213,9.58,23.67,9.0,434,10.18,19.73,22.0,-0.5999999999999996,3.9400000000000013,0.04225352112676056,0.05069124423963134,-0.008437723112870776,
8f6dd463,Azmatullah Omarzai,95,9.6,13.57,7.0,147,9.55,36.75,4.0,0.049999999999998934,-23.18,0.07368421052631578,0.027210884353741496,0.046473326172574284,LHB_WICKET_TAKER
2e81a32d,B Kumar,331,9.9,25.46,13.0,426,9.49,16.38,26.0,0.41000000000000014,9.080000000000002,0.03927492447129909,0.06103286384976526,-0.021757939378466165,RHB_WICKET_TAKER
eaa76d3c,C Green,147,9.27,29.4,5.0,222,9.05,22.2,10.0,0.21999999999999886,7.199999999999999,0.034013605442176874,0.04504504504504504,-0.011031439602868169,
5b7ab5a9,CV Varun,231,8.03,23.1,10.0,523,8.04,18.03,29.0,-0.009999999999999787,5.07,0.04329004329004329,0.055449330783938815,-0.012159287493895526,
