batter_id,batter_name,match_year,innings,total_runs,total_balls,strike_rate,avg_runs,stddev_runs,cv_runs,consistency_index,boundary_pct,high_impact_innings,high_impact_pct,single_digit_failures
872b03f7,A Badoni,2023,7,205.0,141.0,145.39,29.3,16.2,0.553,44.7,15.6,3.0,42.9,1.0
872b03f7,A Badoni,2024,8,222.0,148.0,150.0,27.8,16.7,0.601,39.9,17.57,2.0,25.0,1.0
872b03f7,A Badoni,2025,8,316.0,205.0,154.15,39.5,15.3,0.386,61.4,19.51,6.0,75.0,0.0
b2b4f545,A Mhatre,2025,5,233.0,119.0,195.8,46.6,24.1,0.517,48.3,34.45,5.0,100.0,0.0
d7017798,A Raghuvanshi,2025,9,294.0,208.0,141.35,32.7,11.2,0.342,65.8,17.79,5.0,55.6,0.0
bbd41817,AD Russell,2023,7,204.0,127.0,160.63,29.1,10.4,0.358,64.2,22.83,4.0,57.1,0.0
bbd41817,AD Russell,2024,6,193.0,98.0,196.94,32.2,16.4,0.511,48.9,31.63,2.0,33.3,0.0
bbd41817,AD Russell,2025,5,138.0,83.0,166.27,27.6,18.1,0.656,34.4,30.12,2.0,40.0,1.0
6a26221c,AK Markram,2023,9,226.0,179.0,126.26,25.1,14.0,0.559,44.1,13.41,3.0,33.3,1.0
6a26221c,AK Markram,2024,7,211.0,160.0,131.88,30.1,11.7,0.389,61.1,13.13,4.0,57.1,0.0
6a26221c,AK Markram,2025,11,438.0,288.0,152.08,39.8,19.7,0.495,50.5,20.49,7.0,63.6,1.0
29e95537,AM Rahane,2023,11,326.0,189.0,172.49,29.6,18.8,0.635,36.5,21.16,4.0,36.4,1.0
29e95537,AM Rahane,2024,8,226.0,173.0,130.64,28.3,11.4,0.405,59.5,16.76,4.0,50.0,1.0
29e95537,AM Rahane,2025,10,364.0,249.0,146.18,36.4,15.6,0.43,57.0,20.48,6.0,60.0,0.0
2e171977,AR Patel,2023,9,257.0,182.0,141.21,28.6,11.0,0.387,61.3,18.13,3.0,33.3,0.0
2e171977,AR Patel,2024,7,203.0,149.0,136.24,29.0,20.8,0.717,28.3,18.12,2.0,28.6,0.0
