bowler_id,bowler_name,powerplay_overs,powerplay_economy,powerplay_wickets,middle_overs,middle_economy,middle_wickets,death_overs,death_economy,death_wickets,phase_tags
872b03f7,A Badoni,0.2,0.0,0.0,1.0,19.0,0.0,2.7,7.13,2.0,
fcc21ace,A Kamboj,26.0,8.92,8.0,5.0,10.6,1.0,0.5,6.0,1.0,
6b19d823,A Mishra,0.0,,0.0,17.0,7.71,5.0,4.0,10.0,3.0,
acdc62f5,A Nortje,23.0,10.26,7.0,16.0,8.63,3.0,30.0,12.7,9.0,DEATH_LIABILITY
14f96089,A Zampa,6.0,6.5,3.0,18.0,9.56,5.0,6.0,12.0,3.0,
bbd41817,AD Russell,7.0,12.0,5.0,30.8,11.19,17.0,24.8,10.71,12.0,
4d7f517e,AJ Hosein,3.0,10.33,0.0,1.0,10.0,1.0,0.0,,0.0,
6a26221c,AK Markram,4.0,10.25,1.0,17.0,8.59,4.0,0.2,6.0,0.0,
2e171977,AR Patel,30.0,8.8,7.0,90.0,7.48,21.0,7.0,8.71,0.0,
b0946605,AS Joseph,5.0,10.6,0.0,18.0,9.44,4.0,10.7,11.81,4.0,
e4cdf230,AS Roy,6.0,11.0,2.0,10.0,7.4,3.0,1.7,7.2,1.0,
249d60c9,AU Rashid,0.0,,0.0,6.0,7.67,2.0,1.0,10.0,0.0,
8e514b4c,Abdul Samad,0.0,,0.0,0.0,,0.0,0.3,18.0,0.0,
f29185a1,Abhishek Sharma,8.0,9.63,0.0,20.0,8.6,3.0,2.0,21.0,1.0,
0a67aec0,Akash Deep,15.0,12.0,3.0,8.0,13.5,1.0,4.5,13.33,1.0,
4bd09374,Akash Madhwal,13.0,8.08,5.0,23.0,10.13,10.0,22.7,11.47,11.0,
b483905d,Akash Singh,22.2,9.25,6.0,7.0,10.29,2.0,1.0,10.0,1.0,
44aac2f0,Arjun Tendulkar,9.0,6.33,1.0,1.3,18.0,1.0,1.8,19.64,2.0,
12314277,Arshad Khan,31.0,10.52,7.0,5.0,11.4,2.0,9.3,15.43,3.0,PP_LIABILITY
244048f6,Arshdeep Singh,81.0,9.3,21.0,26.0,9.0,7.0,52.5,10.5,32.0,
d45c29b1,Ashwani Kumar,5.0,12.2,3.0,9.0,8.67,4.0,6.5,14.62,4.0,
1ac746c8,Atharva Taide,0.0,,0.0,0.0,,0.0,0.2,24.0,0.0,
eef2536f,Avesh Khan,38.8,11.18,6.0,40.0,8.8,11.0,52.3,9.96,26.0,PP_LIABILITY
8f6dd463,Azmatullah Omarzai,27.0,9.85,3.0,13.0,8.77,6.0,8.0,12.0,3.0,
2e81a32d,B Kumar,99.0,8.26,25.0,13.0,10.23,1.0,48.0,10.96,22.0,
e087956b,BA Stokes,1.0,18.0,0.0,0.0,,0.0,0.0,,0.0,
172dff15,C Bosch,1.0,11.0,0.0,4.0,9.0,0.0,2.0,4.5,1.0,
eaa76d3c,C Green,16.0,8.94,3.0,41.0,8.24,12.0,16.2,12.0,5.0,
2cdce1be,C Sakariya,5.0,7.0,1.0,3.0,12.0,1.0,3.0,19.0,1.0,
ffe699c0,CJ Jordan,6.0,9.33,1.0,6.0,11.0,0.0,10.0,11.9,2.0,
5b7ab5a9,CV Varun,31.0,8.19,9.0,94.2,8.01,38.0,27.7,8.6,11.0,
8dc152d1,D Jansen,1.0,16.0,0.0,1.0,13.0,0.0,2.0,12.0,1.0,
11614d87,D Pretorius,0.0,,0.0,2.0,4.5,0.0,2.0,10.0,0.0,
aa8d28ae,D Wiese,2.0,11.5,0.0,1.0,15.0,0.0,0.0,,0.0,
cd8d2859,DG Nalkande,2.0,11.0,0.0,4.0,11.0,3.0,2.8,8.82,1.0,
73ad96ed,DJ Hooda,0.0,,0.0,5.0,9.0,0.0,0.0,,0.0,
eade4650,DJ Mitchell,0.0,,0.0,6.0,11.67,1.0,0.0,,0.0,
7f048519,DJ Willey,9.0,6.11,2.0,3.0,6.0,1.0,3.0,11.0,1.0,
23eeb873,DL Chahar,80.3,8.53,23.0,11.0,8.27,4.0,7.2,14.79,3.0,
13fc5c6d,DS Rathi,15.0,8.53,2.0,27.0,7.74,8.0,10.0,9.8,4.0,
5750bcb4,E Malinga,4.0,13.75,0.0,13.0,7.69,6.0,9.7,9.21,8.0,
e9c7f0d0,Fazalhaq Farooqi,17.0,9.88,2.0,8.0,10.75,1.0,5.3,14.25,1.0,
3204c99f,G Coetzee,11.0,10.91,3.0,18.0,10.39,5.0,16.5,11.09,7.0,
9a46c4e5,GD Phillips,1.0,4.0,1.0,2.0,8.0,0.0,0.0,,0.0,
b681e71e,GJ Maxwell,13.0,8.38,5.0,24.0,8.29,8.0,2.3,11.57,1.0,
9f77963a,Gulbadin Naib,0.0,,0.0,1.0,12.0,0.0,0.0,,0.0,
99258814,Gurnoor Brar,2.0,9.0,0.0,1.0,24.0,0.0,0.0,,0.0,
52294a79,H Sharma,0.0,,0.0,5.0,12.4,0.0,0.0,,0.0,
dbe50b21,HH Pandya,27.0,10.59,6.0,57.0,9.16,13.0,12.0,13.92,12.0,MIDDLE_OVERS_LIABILITY
0c9652b0,HR Shokeen,5.0,8.2,1.0,14.0,10.64,2.0,0.0,,0.0,
