bowler_name,match_year,pressure_type,legal_balls,overs,runs_conceded,wickets,economy,dot_pct
A Kamboj,2024,powerplay_pressure,30.0,5.0,62.0,1.0,12.4,33.33
A Kamboj,2025,powerplay_pressure,126.0,21.0,170.0,7.0,8.1,42.86
A Mishra,2023,middle_pressure,48.0,8.0,48.0,3.0,6.0,33.33
A Nortje,2023,death_pressure,114.0,19.0,188.0,5.0,9.89,31.58
A Nortje,2023,middle_pressure,36.0,6.0,47.0,0.0,7.83,25.0
A Nortje,2023,powerplay_pressure,84.0,14.0,126.0,5.0,9.0,51.19
A Nortje,2024,death_pressure,54.0,9.0,161.0,3.0,17.89,20.37
A Nortje,2024,middle_pressure,30.0,5.0,50.0,1.0,10.0,26.67
A Nortje,2024,powerplay_pressure,36.0,6.0,70.0,2.0,11.67,36.11
A Zampa,2023,middle_pressure,30.0,5.0,52.0,2.0,10.4,30.0
A Zampa,2023,powerplay_pressure,36.0,6.0,39.0,2.0,6.5,41.67
AD Russell,2023,death_pressure,31.0,5.2,61.0,2.0,11.81,25.81
AD Russell,2023,powerplay_pressure,36.0,6.0,73.0,4.0,12.17,41.67
AD Russell,2024,death_pressure,56.0,9.3,92.0,7.0,9.86,41.07
AD Russell,2024,middle_pressure,78.0,13.0,139.0,9.0,10.69,29.49
AD Russell,2025,death_pressure,62.0,10.3,113.0,3.0,10.94,27.42
AD Russell,2025,middle_pressure,35.0,5.8,76.0,3.0,13.03,25.71
AR Patel,2023,middle_pressure,102.0,17.0,113.0,6.0,6.65,31.37
AR Patel,2023,powerplay_pressure,66.0,11.0,86.0,2.0,7.82,46.97
AR Patel,2024,middle_pressure,84.0,14.0,86.0,5.0,6.14,34.52
AR Patel,2025,middle_pressure,42.0,7.0,69.0,0.0,9.86,28.57
AR Patel,2025,powerplay_pressure,90.0,15.0,124.0,2.0,8.27,35.56
AS Joseph,2023,death_pressure,42.0,7.0,71.0,4.0,10.14,30.95
AS Joseph,2023,middle_pressure,42.0,7.0,65.0,1.0,9.29,33.33
Abhishek Sharma,2023,middle_pressure,36.0,6.0,49.0,1.0,8.17,30.56
Abhishek Sharma,2025,middle_pressure,30.0,5.0,58.0,0.0,11.6,20.0
Akash Deep,2025,powerplay_pressure,72.0,12.0,146.0,2.0,12.17,34.72
Akash Madhwal,2023,death_pressure,69.0,11.5,95.0,6.0,8.26,28.99
Akash Madhwal,2023,middle_pressure,36.0,6.0,68.0,3.0,11.33,22.22
Akash Madhwal,2023,powerplay_pressure,30.0,5.0,36.0,3.0,7.2,50.0
Akash Madhwal,2024,powerplay_pressure,42.0,7.0,56.0,2.0,8.0,50.0
Akash Madhwal,2025,death_pressure,42.0,7.0,82.0,3.0,11.71,30.95
Akash Singh,2023,powerplay_pressure,90.0,15.0,144.0,3.0,9.6,46.67
Akash Singh,2025,powerplay_pressure,43.0,7.2,61.0,3.0,8.51,39.53
Arjun Tendulkar,2023,powerplay_pressure,42.0,7.0,47.0,1.0,6.71,47.62
Arshad Khan,2023,powerplay_pressure,42.0,7.0,90.0,1.0,12.86,33.33
Arshad Khan,2024,powerplay_pressure,42.0,7.0,66.0,1.0,9.43,42.86
Arshad Khan,2025,powerplay_pressure,102.0,17.0,170.0,5.0,10.0,40.2
Arshdeep Singh,2023,death_pressure,101.0,16.8,161.0,8.0,9.56,30.69
Arshdeep Singh,2023,middle_pressure,60.0,10.0,93.0,2.0,9.3,28.33
Arshdeep Singh,2023,powerplay_pressure,132.0,22.0,228.0,6.0,10.36,43.94
Arshdeep Singh,2024,death_pressure,98.0,16.3,200.0,10.0,12.24,32.65
Arshdeep Singh,2024,middle_pressure,36.0,6.0,54.0,2.0,9.0,25.0
Arshdeep Singh,2024,powerplay_pressure,162.0,27.0,244.0,7.0,9.04,41.36
Arshdeep Singh,2025,death_pressure,116.0,19.3,190.0,11.0,9.83,30.17
Arshdeep Singh,2025,middle_pressure,36.0,6.0,51.0,2.0,8.5,27.78
Arshdeep Singh,2025,powerplay_pressure,192.0,32.0,281.0,8.0,8.78,45.83
Ashwani Kumar,2025,death_pressure,39.0,6.5,95.0,4.0,14.62,30.77
Ashwani Kumar,2025,middle_pressure,48.0,8.0,73.0,4.0,9.13,25.0
Ashwani Kumar,2025,powerplay_pressure,30.0,5.0,61.0,3.0,12.2,33.33
