batter1_id,batter1_name,batter2_id,batter2_name,matches_together,total_runs,total_balls,partnership_sr,batter1_individual_sr,batter2_individual_sr,combined_avg_sr,synergy_score
12b610c2,TM Head,f29185a1,Abhishek Sharma,27,1202.0,574.0,209.41,180.96,186.53,183.74,147.3
3241e3fd,N Pooran,3d8feaf8,MR Marsh,7,466.0,213.0,218.78,183.89,158.14,171.01,101.7
3355b542,F du Plessis,b681e71e,GJ Maxwell,9,570.0,301.0,189.37,151.55,161.29,156.42,99.2
9b6e1b3f,J Fraser-McGurk,ad3b6e95,Abishek Porel,10,339.0,142.0,238.73,201.57,150.23,175.9,89.2
3d284ca3,PD Salt,9d430b40,SP Narine,12,559.0,270.0,207.04,177.48,171.98,174.73,87.2
4a8a2e3b,MS Dhoni,fe93fd9d,RA Jadeja,15,418.0,214.0,195.33,170.11,140.11,155.11,86.1
740742ef,RG Sharma,752f7486,Ishan Kishan,29,993.0,622.0,159.65,145.15,147.64,146.4,82.4
0994d0ae,V Shankar,d67d5f00,DA Miller,5,200.0,93.0,215.05,143.84,142.66,143.25,66.8
45a43fe2,RD Gaikwad,a4e37e47,S Dube,10,450.0,259.0,173.75,145.34,151.1,148.22,66.1
b4b99816,Shubman Gill,d5130a30,B Sai Sudharsan,31,1940.0,1232.0,157.47,155.66,148.74,152.2,64.9
a4e37e47,S Dube,df5a6881,DP Conway,10,358.0,205.0,174.63,151.1,138.46,144.78,61.2
0a509d6b,RK Singh,bbd41817,AD Russell,18,374.0,199.0,187.94,152.24,164.71,158.48,58.6
a4cc73aa,SV Samson,bcf325d2,Dhruv Jurel,4,283.0,148.0,191.22,151.03,153.85,152.44,57.4
2c25d4f5,D Padikkal,ba607b88,V Kohli,9,453.0,286.0,158.39,131.57,146.55,139.06,55.3
b0482a1d,Tilak Varma,dbe50b21,HH Pandya,16,405.0,236.0,171.61,150.96,145.83,148.39,54.8
3355b542,F du Plessis,ba607b88,V Kohli,29,1646.0,1071.0,153.69,151.55,146.55,149.05,49.7
9d430b40,SP Narine,d7017798,A Raghuvanshi,6,349.0,189.0,184.66,171.98,145.14,158.56,49.3
04a418e8,R Parag,48a1d7b7,SO Hetmyer,7,309.0,171.0,180.7,152.86,152.1,152.48,48.3
9caf69a1,WG Jacks,ba607b88,V Kohli,5,227.0,120.0,189.17,153.31,146.55,149.93,47.1
26989d80,Shashank Singh,85ec8e33,SS Iyer,5,168.0,75.0,224.0,158.92,164.09,161.5,46.9
235c2bb6,H Klaasen,752f7486,Ishan Kishan,6,270.0,140.0,192.86,175.22,147.64,161.43,44.0
85ec8e33,SS Iyer,d1a60072,N Wadhera,7,368.0,211.0,174.41,164.09,143.51,153.8,43.5
48a1d7b7,SO Hetmyer,bcf325d2,Dhruv Jurel,20,440.0,260.0,169.23,152.1,153.85,152.97,42.3
29e95537,AM Rahane,a4e37e47,S Dube,6,233.0,128.0,182.03,147.61,151.1,149.35,41.8
271f83cd,SA Yadav,eaa76d3c,C Green,9,350.0,189.0,185.19,172.93,154.7,163.81,40.4
b0482a1d,Tilak Varma,d1a60072,N Wadhera,5,189.0,101.0,187.13,150.96,143.51,147.24,40.3
45a43fe2,RD Gaikwad,df5a6881,DP Conway,17,856.0,575.0,148.87,145.34,138.46,141.9,40.1
3d284ca3,PD Salt,ba607b88,V Kohli,13,565.0,324.0,174.38,177.48,146.55,162.01,40.1
29e95537,AM Rahane,9d430b40,SP Narine,7,334.0,184.0,181.52,147.61,171.98,159.8,40.0
872b03f7,A Badoni,8e514b4c,Abdul Samad,3,140.0,67.0,208.96,142.45,157.98,150.21,39.4
470f446b,V Suryavanshi,6c19c6e5,YBK Jaiswal,7,422.0,208.0,202.88,208.26,160.46,184.36,38.5
0a509d6b,RK Singh,1abb78f8,SN Thakur,7,176.0,90.0,195.56,152.24,153.54,152.89,38.4
73ad96ed,DJ Hooda,b17e2f24,KL Rahul,9,259.0,179.0,144.69,110.64,135.88,123.26,38.4
99b75528,JC Buttler,d5130a30,B Sai Sudharsan,7,357.0,214.0,166.82,149.02,148.74,148.88,38.4
0890552f,A Manohar,d67d5f00,DA Miller,4,125.0,68.0,183.82,115.0,142.66,128.83,37.4
85b3fab2,T Stubbs,919a3be2,RR Pant,10,310.0,176.0,176.14,164.64,146.22,155.43,36.4
740742ef,RG Sharma,eaa76d3c,C Green,4,221.0,124.0,178.23,145.15,154.7,149.93,35.1
48a1d7b7,SO Hetmyer,a4cc73aa,SV Samson,7,195.0,106.0,183.96,152.1,151.03,151.56,34.3
