batter1_id,batter1_name,batter2_id,batter2_name,match_year,matches_together,total_runs,total_balls,partnership_sr,batter1_sr,batter2_sr,synergy_score
3355b542,F du Plessis,b681e71e,GJ Maxwell,2023,8,567.0,296.0,191.55,154.66,183.49,66.5
0994d0ae,V Shankar,d67d5f00,DA Miller,2023,4,170.0,75.0,226.67,160.96,145.51,55.1
6c19c6e5,YBK Jaiswal,99b75528,JC Buttler,2023,13,550.0,333.0,165.17,164.04,139.5,44.6
d5130a30,B Sai Sudharsan,dbe50b21,HH Pandya,2023,3,121.0,57.0,212.28,143.08,137.85,40.9
740742ef,RG Sharma,eaa76d3c,C Green,2023,4,221.0,124.0,178.23,133.87,162.01,37.6
740742ef,RG Sharma,752f7486,Ishan Kishan,2023,15,504.0,338.0,149.11,133.87,142.77,36.5
0a509d6b,RK Singh,1abb78f8,SN Thakur,2023,7,176.0,90.0,195.56,151.44,161.43,35.2
0890552f,A Manohar,d67d5f00,DA Miller,2023,3,123.0,63.0,195.24,137.35,145.51,33.9
5f547c8b,Rashid Khan,b0946605,AS Joseph,2023,1,88.0,40.0,220.0,216.67,58.33,33.0
45a43fe2,RD Gaikwad,df5a6881,DP Conway,2023,15,849.0,566.0,150.0,148.24,140.29,32.5
6a26221c,AK Markram,77255a9e,RA Tripathi,2023,7,145.0,89.0,162.92,125.89,128.77,31.7
73c18486,KR Mayers,b17e2f24,KL Rahul,2023,8,365.0,256.0,142.58,146.9,113.69,31.4
b4b99816,Shubman Gill,d5130a30,B Sai Sudharsan,2023,7,487.0,302.0,161.26,158.93,143.08,31.0
73ad96ed,DJ Hooda,73c18486,KR Mayers,2023,2,93.0,52.0,178.85,93.33,146.9,30.5
a4e37e47,S Dube,df5a6881,DP Conway,2023,8,232.0,135.0,171.85,158.33,140.29,30.4
235c2bb6,H Klaasen,4ae1755b,HC Brook,2023,2,101.0,47.0,214.89,178.49,124.18,29.9
50c6bc2b,LS Livingstone,800d2d97,JM Sharma,2023,2,120.0,56.0,214.29,168.07,157.65,28.8
0a509d6b,RK Singh,cc1e8c68,UT Yadav,2023,3,69.0,32.0,215.63,151.44,105.56,27.9
800d2d97,JM Sharma,e94915e6,SM Curran,2023,4,131.0,70.0,187.14,157.65,137.31,27.8
28c78fb3,Harpreet Singh,e94915e6,SM Curran,2023,1,92.0,48.0,191.67,131.03,137.31,27.6
b17e2f24,KL Rahul,d9273ee7,MP Stoinis,2023,3,121.0,71.0,170.42,113.69,150.0,27.4
3d284ca3,PD Salt,3d8feaf8,MR Marsh,2023,3,191.0,111.0,172.07,163.91,131.96,26.8
7dcb9bc9,M Shahrukh Khan,c05edf8e,Harpreet Brar,2023,4,75.0,33.0,227.27,165.96,126.83,26.7
4ae1755b,HC Brook,f29185a1,Abhishek Sharma,2023,3,107.0,60.0,178.33,124.18,144.87,26.3
4a8a2e3b,MS Dhoni,fe93fd9d,RA Jadeja,2023,4,132.0,63.0,209.52,192.59,143.94,26.0
0a476045,S Dhawan,9a5f2863,Mohit Rathee,2023,1,55.0,30.0,183.33,144.57,50.0,25.8
00ea847a,MA Agarwal,1b7b0fa7,Vivrant Sharma,2023,1,140.0,83.0,168.67,129.81,146.81,25.2
378daa89,Aman Hakim Khan,60500956,RV Patel,2023,2,62.0,33.0,187.88,108.91,113.95,25.2
29e95537,AM Rahane,a4e37e47,S Dube,2023,4,141.0,70.0,201.43,172.49,158.33,25.2
271f83cd,SA Yadav,eaa76d3c,C Green,2023,9,350.0,189.0,185.19,182.23,162.01,24.7
7dcb9bc9,M Shahrukh Khan,e94915e6,SM Curran,2023,4,117.0,61.0,191.8,165.96,137.31,24.5
2e171977,AR Patel,dcce6f09,DA Warner,2023,5,118.0,69.0,171.01,140.8,131.97,23.9
48a1d7b7,SO Hetmyer,a4cc73aa,SV Samson,2023,4,115.0,60.0,191.67,152.55,153.39,23.2
3d284ca3,PD Salt,cad00a4d,RR Rossouw,2023,2,117.0,60.0,195.0,163.91,149.29,23.0
48a1d7b7,SO Hetmyer,bcf325d2,Dhruv Jurel,2023,9,225.0,125.0,180.0,152.55,172.73,21.7
0a509d6b,RK Singh,bbd41817,AD Russell,2023,9,175.0,103.0,169.9,151.44,146.45,21.6
8b3e9c7c,PP Shaw,dcce6f09,DA Warner,2023,8,241.0,170.0,141.76,126.19,131.97,21.6
39a2dfa8,R Tewatia,d67d5f00,DA Miller,2023,5,96.0,50.0,192.0,152.63,145.51,21.5
50c6bc2b,LS Livingstone,e94915e6,SM Curran,2023,4,119.0,64.0,185.94,168.07,137.31,21.3
3241e3fd,N Pooran,d9273ee7,MP Stoinis,2023,7,230.0,130.0,176.92,172.95,150.0,20.1
271f83cd,SA Yadav,752f7486,Ishan Kishan,2023,4,156.0,84.0,185.71,182.23,142.77,19.5
a24be938,VR Iyer,fb2d1dda,N Rana,2023,7,386.0,255.0,151.37,146.38,141.44,19.0
ba607b88,V Kohli,c8f5f961,Anuj Rawat,2023,1,64.0,34.0,188.24,139.82,128.17,18.4
2e171977,AR Patel,60500956,RV Patel,2023,2,67.0,39.0,171.79,140.8,113.95,17.3
70d205c9,AT Rayudu,a4e37e47,S Dube,2023,5,78.0,41.0,190.24,139.82,158.33,16.9
ba607b88,V Kohli,da934ee8,MK Lomror,2023,4,162.0,104.0,155.77,139.82,140.63,16.2
3241e3fd,N Pooran,872b03f7,A Badoni,2023,5,256.0,154.0,166.23,172.95,139.18,15.7
872b03f7,A Badoni,d9273ee7,MP Stoinis,2023,3,94.0,55.0,170.91,139.18,150.0,14.5
00ea847a,MA Agarwal,235c2bb6,H Klaasen,2023,3,94.0,52.0,180.77,129.81,178.49,13.8
663b5e34,PN Mankad,d9273ee7,MP Stoinis,2023,1,73.0,43.0,169.77,130.99,150.0,12.6
99b75528,JC Buttler,a4cc73aa,SV Samson,2023,6,185.0,118.0,156.78,139.5,153.39,12.2
5b8c830e,KH Pandya,b17e2f24,KL Rahul,2023,5,154.0,125.0,123.2,113.94,113.69,11.7
1ac746c8,Atharva Taide,26d041c4,Sikandar Raza,2023,1,78.0,47.0,165.96,144.19,141.84,10.8
a4e37e47,S Dube,bb351c23,MM Ali,2023,3,87.0,51.0,170.59,158.33,140.91,10.7
2c25d4f5,D Padikkal,99b75528,JC Buttler,2023,3,83.0,54.0,153.7,130.5,139.5,10.1
bd54eef5,N Jagadeesan,d1c36f5c,JJ Roy,2023,1,83.0,56.0,148.21,109.88,152.41,9.6
a24be938,VR Iyer,bbd41817,AD Russell,2023,3,81.0,49.0,165.31,146.38,146.45,9.3
0a476045,S Dhawan,6c882e9a,PBB Rajapaksa,2023,3,96.0,67.0,143.28,144.57,114.52,9.2
872b03f7,A Badoni,90de905a,K Gowtham,2023,3,65.0,37.0,175.68,139.18,164.86,8.8
