batter_name,batter_id,boundary_sequences,avg_boundary_seq_length,max_boundary_seq,total_boundaries_in_sequences
A Mhatre,b2b4f545,2,4.0,6,8
J Fraser-McGurk,9b6e1b3f,3,3.3,6,10
RR Pant,919a3be2,3,3.3,6,10
KK Nair,944533a5,2,3.0,4,6
R Ravindra,ba5e1069,2,3.0,3,6
TH David,f1f99156,2,3.0,3,6
JC Buttler,99b75528,4,3.0,4,12
JM Bairstow,abb83e27,6,2.7,5,16
KR Mayers,73c18486,3,2.7,3,8
N Rana,fb2d1dda,6,2.7,6,16
PP Shaw,8b3e9c7c,5,2.6,4,13
M Shahrukh Khan,7dcb9bc9,2,2.5,3,5
H Klaasen,235c2bb6,4,2.5,4,10
MM Ali,bb351c23,2,2.5,3,5
TM Head,12b610c2,2,2.5,3,5
MK Pandey,93b4fc78,2,2.5,3,5
SA Yadav,271f83cd,12,2.5,4,30
V Shankar,0994d0ae,4,2.5,3,10
Tilak Varma,b0482a1d,6,2.5,4,15
R Powell,650d5e49,2,2.5,3,5
Ishan Kishan,752f7486,8,2.5,3,20
Abishek Porel,ad3b6e95,2,2.5,3,5
YBK Jaiswal,6c19c6e5,9,2.4,4,22
SV Samson,a4cc73aa,11,2.4,3,26
N Pooran,3241e3fd,12,2.4,3,29
DA Warner,dcce6f09,5,2.4,3,12
HH Pandya,dbe50b21,5,2.4,3,12
Dhruv Jurel,bcf325d2,7,2.4,3,17
P Simran Singh,9418198b,3,2.3,3,7
SO Hetmyer,48a1d7b7,4,2.3,3,9
LS Livingstone,50c6bc2b,4,2.3,3,9
JJ Roy,d1c36f5c,3,2.3,3,7
RK Singh,0a509d6b,4,2.3,3,9
F du Plessis,3355b542,8,2.3,3,18
MK Lomror,da934ee8,4,2.3,3,9
RA Tripathi,77255a9e,4,2.3,3,9
C Green,eaa76d3c,4,2.3,3,9
R Parag,04a418e8,9,2.2,4,20
KL Rahul,b17e2f24,5,2.2,3,11
Shashank Singh,26989d80,5,2.2,3,11
SE Rutherford,d014d5ac,5,2.2,3,11
Shubman Gill,b4b99816,6,2.2,3,13
MP Stoinis,d9273ee7,5,2.2,3,11
T Stubbs,85b3fab2,7,2.1,3,15
Ashutosh Sharma,84d9c311,7,2.1,3,15
Abhishek Sharma,f29185a1,13,2.1,3,27
V Kohli,ba607b88,7,2.1,3,15
DJ Mitchell,eade4650,3,2.0,2,6
RD Gaikwad,45a43fe2,3,2.0,2,6
RA Jadeja,fe93fd9d,2,2.0,2,4
S Dhawan,0a476045,2,2.0,2,4
Abdul Samad,8e514b4c,2,2.0,2,4
AK Markram,6a26221c,2,2.0,2,4
Rashid Khan,5f547c8b,5,2.0,2,10
Q de Kock,372455c4,4,2.0,2,8
RG Sharma,740742ef,9,2.0,2,18
WP Saha,fe11caa6,2,2.0,2,4
S Dube,a4e37e47,5,2.0,2,10
RR Rossouw,cad00a4d,5,2.0,2,10
Sikandar Raza,26d041c4,2,2.0,2,4
AM Rahane,29e95537,8,2.0,2,16
RM Patidar,c740ea83,2,2.0,2,4
PN Mankad,663b5e34,2,2.0,2,4
GJ Maxwell,b681e71e,3,2.0,2,6
PJ Cummins,ded9240e,2,2.0,2,4
SP Narine,9d430b40,2,2.0,2,4
A Badoni,872b03f7,2,2.0,2,4
VR Iyer,a24be938,5,2.0,2,10
SB Dubey,6b2ff18f,3,2.0,2,6
N Wadhera,d1a60072,3,2.0,2,6
V Nigam,5ffc0565,3,2.0,2,6
B Sai Sudharsan,d5130a30,8,2.0,2,16
JM Sharma,800d2d97,6,2.0,2,12
D Padikkal,2c25d4f5,2,2.0,2,4
DP Conway,df5a6881,2,2.0,2,4
WG Jacks,9caf69a1,2,2.0,2,4
Atharva Taide,1ac746c8,6,2.0,2,12
Naman Dhir,fffa744b,3,2.0,2,6
AD Russell,bbd41817,3,2.0,2,6
DA Miller,d67d5f00,5,2.0,2,10
DJ Hooda,73ad96ed,2,2.0,2,4
MS Dhoni,4a8a2e3b,3,2.0,2,6
Arshad Khan,12314277,2,2.0,2,4
