player_name,player_id,role,pressure_balls,overall_sr,pressure_sr,sr_delta_pct,overall_boundary_pct,pressure_boundary_pct,boundary_delta_pct,overall_dot_pct,pressure_dot_pct,dot_delta_pct,sample_confidence,pressure_rating
J Fraser-McGurk,9b6e1b3f,BATTER,21,184.82,314.29,70.1,30.36,57.14,88.2,41.96,23.81,-43.3,MEDIUM,CLUTCH
JJ Roy,d1c36f5c,BATTER,26,167.74,234.62,39.9,29.03,38.46,32.5,34.41,19.23,-44.1,MEDIUM,CLUTCH
KR Mayers,73c18486,BATTER,60,135.04,171.67,27.1,23.08,31.67,37.2,49.57,46.67,-5.9,HIGH,CLUTCH
MM Ali,bb351c23,BATTER,60,117.58,143.33,21.9,14.29,20.0,40.0,40.66,38.33,-5.7,HIGH,CLUTCH
Naman Dhir,fffa744b,BATTER,61,175.45,209.84,19.6,28.18,31.15,10.5,33.64,21.31,-36.7,HIGH,CLUTCH
Shubman Gill,b4b99816,BATTER,217,141.42,164.06,16.0,18.48,20.74,12.2,31.35,25.35,-19.1,HIGH,CLUTCH
Shahbaz Ahmed,f9e6e7ef,BATTER,56,108.14,125.0,15.6,9.3,12.5,34.4,32.56,26.79,-17.7,HIGH,CLUTCH
RK Singh,0a509d6b,BATTER,127,146.38,168.5,15.1,17.87,21.26,19.0,30.92,23.62,-23.6,HIGH,CLUTCH
MK Pandey,93b4fc78,BATTER,75,113.33,128.0,12.9,13.33,14.67,10.1,40.83,37.33,-8.6,HIGH,CLUTCH
MS Dhoni,4a8a2e3b,BATTER,110,150.38,169.09,12.4,18.32,21.82,19.1,24.43,20.0,-18.1,HIGH,CLUTCH
DA Miller,d67d5f00,BATTER,124,149.04,165.32,10.9,19.23,23.39,21.6,25.0,26.61,6.4,HIGH,CLUTCH
DP Conway,df5a6881,BATTER,103,124.7,137.86,10.6,15.79,16.5,4.5,31.58,28.16,-10.8,HIGH,CLUTCH
RD Gaikwad,45a43fe2,BATTER,95,128.49,141.05,9.8,16.32,18.95,16.1,35.61,33.68,-5.4,HIGH,MODERATE
DJ Hooda,73ad96ed,BATTER,74,111.21,121.62,9.4,13.08,14.86,13.6,39.25,36.49,-7.0,HIGH,MODERATE
RD Rickelton,e66732f8,BATTER,18,142.48,155.56,9.2,23.89,33.33,39.5,42.48,38.89,-8.5,MEDIUM,MODERATE
Sameer Rizvi,f89d3b11,BATTER,51,152.78,166.67,9.1,25.0,25.49,2.0,34.72,27.45,-20.9,HIGH,MODERATE
JM Bairstow,abb83e27,BATTER,91,161.76,175.82,8.7,25.88,27.47,6.1,35.29,30.77,-12.8,HIGH,MODERATE
PN Mankad,663b5e34,BATTER,45,131.37,142.22,8.3,17.65,20.0,13.3,35.29,31.11,-11.8,HIGH,MODERATE
RM Patidar,c740ea83,BATTER,66,153.68,165.15,7.5,20.59,21.21,3.0,30.15,28.79,-4.5,HIGH,MODERATE
Shashank Singh,26989d80,BATTER,169,162.77,173.96,6.9,22.08,23.67,7.2,25.54,20.12,-21.2,HIGH,MODERATE
RA Jadeja,fe93fd9d,BATTER,175,149.34,159.43,6.8,17.03,19.43,14.1,20.96,17.71,-15.5,HIGH,MODERATE
Tilak Varma,b0482a1d,BATTER,217,154.5,164.06,6.2,20.9,22.12,5.8,29.37,27.65,-5.9,HIGH,MODERATE
S Dube,a4e37e47,BATTER,209,132.29,140.19,6.0,15.58,16.75,7.5,35.69,32.54,-8.8,HIGH,MODERATE
Lalit Yadav,ad427b5c,BATTER,53,105.17,111.32,5.8,10.34,11.32,9.5,32.76,30.19,-7.8,HIGH,MODERATE
JM Sharma,800d2d97,BATTER,121,165.17,174.38,5.6,21.91,24.79,13.1,30.9,28.93,-6.4,HIGH,MODERATE
