player_id,player_name,player_type,cluster_id,cluster_label,balls,overall_sr,overall_avg,overall_boundary_pct,overall_dot_pct,pp_sr,mid_sr,death_sr,death_boundary_pct,avg_batting_position,wickets,overall_economy,pp_economy,mid_economy,death_economy,pp_pct,mid_pct,death_pct
3241e3fd,N Pooran,batter,3,DEATH_FINISHER,751,183.89,46.03,27.7,30.63,183.54,183.85,184.04,27.3,3.9,,,,,,,,
b4b99816,Shubman Gill,batter,2,BOUNDARY_HITTER,1263,155.66,50.41,20.27,26.29,143.7,160.21,193.1,25.0,1.1,,,,,,,,
eade4650,DJ Mitchell,batter,4,BOUNDARY_HITTER,223,142.6,28.91,16.59,25.56,132.88,156.25,121.05,7.89,3.0,,,,,,,,
b0482a1d,Tilak Varma,batter,2,DEATH_FINISHER,730,150.96,39.36,19.45,30.14,146.67,138.85,192.72,27.15,3.5,,,,,,,,
6a26221c,AK Markram,batter,4,BOUNDARY_HITTER,670,136.27,27.67,16.12,29.85,135.86,132.04,164.91,21.05,2.4,,,,,,,,
271f83cd,SA Yadav,batter,3,DEATH_FINISHER,964,172.93,47.63,26.35,30.39,138.41,172.99,213.28,35.94,3.0,,,,,,,,
d9273ee7,MP Stoinis,batter,0,DEATH_FINISHER,618,154.69,29.88,21.52,33.82,131.97,138.86,228.1,34.71,3.6,,,,,,,,
e94915e6,SM Curran,batter,1,DEATH_FINISHER,500,132.0,25.38,15.6,31.6,102.6,116.26,182.84,26.12,3.6,,,,,,,,
c740ea83,RM Patidar,batter,4,BOUNDARY_HITTER,440,160.68,27.19,21.14,28.64,135.62,168.24,148.98,20.41,3.2,,,,,,,,
ad3b6e95,Abishek Porel,batter,0,POWERPLAY_AGGRESSOR,440,150.23,22.79,20.91,31.59,151.92,143.5,181.25,28.13,2.4,,,,,,,,
2c25d4f5,D Padikkal,batter,1,DEATH_FINISHER,415,131.57,20.22,18.31,37.11,129.41,124.89,175.61,31.71,2.7,,,,,,,,
aad0c365,Nithish Kumar Reddy,batter,1,DEATH_FINISHER,364,133.24,26.94,15.38,33.79,95.95,134.19,178.57,23.21,3.3,,,,,,,,
eaa76d3c,C Green,batter,2,DEATH_FINISHER,457,154.7,35.35,20.57,27.79,164.71,130.08,200.0,27.45,3.5,,,,,,,,
dbe50b21,HH Pandya,batter,1,DEATH_FINISHER,539,145.83,23.82,18.55,31.91,113.43,140.07,168.0,20.57,4.2,,,,,,,,
a4cc73aa,SV Samson,batter,2,BOUNDARY_HITTER,780,151.03,36.81,20.64,31.41,143.77,147.5,197.33,28.0,2.4,,,,,,,,
d7017798,A Raghuvanshi,batter,4,BOUNDARY_HITTER,319,145.14,28.94,19.44,27.27,167.39,136.41,134.88,16.28,2.9,,,,,,,,
df5a6881,DP Conway,batter,4,BOUNDARY_HITTER,598,138.46,43.58,19.4,31.44,129.45,146.33,151.06,21.28,1.2,,,,,,,,
85ec8e33,SS Iyer,batter,2,DEATH_FINISHER,582,164.09,45.48,22.34,26.46,123.16,154.39,218.66,32.84,3.0,,,,,,,,
2e171977,AR Patel,batter,1,DEATH_FINISHER,547,142.78,26.93,18.83,32.72,120.0,132.36,165.96,20.21,4.2,,,,,,,,
3355b542,F du Plessis,batter,4,BOUNDARY_HITTER,904,151.55,36.05,21.02,30.42,155.23,144.13,169.23,20.51,1.1,,,,,,,,
752f7486,Ishan Kishan,batter,0,POWERPLAY_AGGRESSOR,764,147.64,28.92,22.38,35.73,146.88,139.08,194.55,29.09,1.6,,,,,,,,
a24be938,VR Iyer,batter,0,DEATH_FINISHER,611,149.92,30.53,20.62,32.73,151.18,145.92,163.95,25.58,2.8,,,,,,,,
919a3be2,RR Pant,batter,1,DEATH_FINISHER,489,146.22,32.5,20.45,36.4,106.94,135.02,210.0,31.0,3.4,,,,,,,,
73ad96ed,DJ Hooda,batter,1,DEATH_FINISHER,235,110.64,10.83,11.49,36.17,98.68,107.03,154.84,22.58,3.4,,,,,,,,
ba607b88,V Kohli,batter,2,BOUNDARY_HITTER,1390,146.55,53.61,19.14,27.55,151.91,134.19,183.33,25.44,1.1,,,,,,,,
99b75528,JC Buttler,batter,2,BOUNDARY_HITTER,865,149.02,36.83,20.81,31.91,131.61,150.26,190.98,27.07,1.9,,,,,,,,
b17e2f24,KL Rahul,batter,4,BOUNDARY_HITTER,981,135.88,43.0,17.23,31.4,131.47,138.3,145.36,17.53,1.8,,,,,,,,
6c19c6e5,YBK Jaiswal,batter,0,POWERPLAY_AGGRESSOR,1009,160.46,41.51,26.46,36.57,170.08,139.52,209.52,35.71,1.0,,,,,,,,
d5130a30,B Sai Sudharsan,batter,2,BOUNDARY_HITTER,1108,148.74,53.16,19.77,27.08,139.52,145.82,210.53,31.58,1.7,,,,,,,,
45a43fe2,RD Gaikwad,batter,4,BOUNDARY_HITTER,891,145.34,44.66,19.08,31.87,145.89,140.81,169.49,22.03,1.3,,,,,,,,
fb2d1dda,N Rana,batter,0,DEATH_FINISHER,460,146.09,26.88,21.96,35.43,144.7,140.89,191.89,29.73,2.9,,,,,,,,
04a418e8,R Parag,batter,0,DEATH_FINISHER,683,152.86,34.8,19.91,31.48,159.52,144.64,175.35,26.06,3.4,,,,,,,,
0994d0ae,V Shankar,batter,2,DEATH_FINISHER,349,143.84,31.38,17.77,27.79,136.67,120.81,197.83,26.09,4.0,,,,,,,,
0a476045,S Dhawan,batter,0,POWERPLAY_AGGRESSOR,379,138.52,35.0,21.9,39.58,132.99,134.06,174.47,27.66,1.4,,,,,,,,
3fb19989,MA Starc,bowler,0,POWERPLAY_SPECIALIST,479,,23.03,,38.41,,,,,,37.0,10.67,10.94,7.5,11.24,65.14,10.02,24.84
2cffab74,Mukesh Kumar,bowler,0,POWERPLAY_SPECIALIST,636,,24.84,,32.86,,,,,,45.0,10.55,9.0,9.36,12.9,41.51,20.75,37.74
a818c1be,TA Boult,bowler,0,POWERPLAY_SPECIALIST,894,,24.69,,40.16,,,,,,52.0,8.62,7.55,10.76,10.17,63.09,16.78,20.13
