team_name,player_name,player_id,role,bowling_type,bowling_style,batting_hand,is_uncapped,ipl_batting_innings,ipl_batting_balls,ipl_batting_runs,ipl_batting_sr,ipl_bowling_matches,ipl_bowling_balls,ipl_bowling_wickets,ipl_bowling_economy
Chennai Super Kings,Ruturaj Gaikwad,45a43fe2,Batter,Medium,Right-arm pace,Right-hand,False,34.0,891.0,1295.0,145.34,0.0,0.0,0.0,0.0
Chennai Super Kings,Sanju Samson,a4cc73aa,Wicketkeeper,Medium,Right-arm pace,Right-hand,False,38.0,780.0,1178.0,151.03,0.0,0.0,0.0,0.0
Chennai Super Kings,Shivam Dube,a4e37e47,All-rounder,Medium,Right-arm pace,Left-hand,False,42.0,775.0,1171.0,151.1,2.0,18.0,1.0,15.67
Chennai Super Kings,MS Dhoni,4a8a2e3b,Wicketkeeper,Medium,Right-arm pace,Right-hand,False,36.0,271.0,461.0,170.11,0.0,0.0,0.0,0.0
Chennai Super Kings,Dewald Brevis,844e79d1,All-rounder,Off-spin,Right-arm off-spin,Right-hand,False,9.0,184.0,294.0,159.78,0.0,0.0,0.0,0.0
Chennai Super Kings,Ayush Mhatre,b2b4f545,Batter,Medium,Right-arm pace,Right-hand,False,7.0,127.0,240.0,188.98,0.0,0.0,0.0,0.0
Chennai Super Kings,Matthew Short,a90e53ec,All-rounder,Off-spin,Right-arm off-spin,Right-hand,False,6.0,92.0,117.0,127.17,3.0,24.0,0.0,6.25
Chennai Super Kings,Aman Khan,378daa89,All-rounder,Off-spin,Right-arm off-spin,Left-hand,False,9.0,101.0,110.0,108.91,0.0,0.0,0.0,0.0
Chennai Super Kings,Urvil Patel,cf59b3f0,Wicketkeeper,Medium,Right-arm pace,Right-hand,False,3.0,32.0,68.0,212.5,0.0,0.0,0.0,0.0
Chennai Super Kings,Sarfaraz Khan,f088b960,Batter,Leg-spin,Right-arm leg-spin,Right-hand,False,4.0,61.0,53.0,86.89,0.0,0.0,0.0,0.0
Chennai Super Kings,Kartik Sharma,119678fd,Wicketkeeper,Medium,Right-arm pace,Right-hand,False,6.0,21.0,35.0,166.67,21.0,363.0,24.0,10.21
Chennai Super Kings,Rahul Chahar,2ed569a0,Bowler,Leg-spin,Right-arm leg-spin,Right-hand,False,4.0,24.0,21.0,87.5,24.0,490.0,18.0,8.29
Chennai Super Kings,Noor Ahmad,efc04be7,Bowler,Left-arm wrist spin,Left-arm wrist spin,Left-hand,False,11.0,35.0,20.0,57.14,37.0,792.0,48.0,8.24
Chennai Super Kings,Akeal Hosein,4d7f517e,Bowler,Left-arm orthodox,Left-arm orthodox,Left-hand,False,1.0,10.0,16.0,160.0,1.0,24.0,1.0,10.25
Chennai Super Kings,Anshul Kamboj,fcc21ace,Bowler,Fast,Right-arm pace,Right-hand,False,6.0,14.0,16.0,114.29,11.0,189.0,10.0,9.14
Chennai Super Kings,Jamie Overton,59559bc2,All-rounder,Fast,Right-arm pace,Right-hand,False,2.0,7.0,15.0,214.29,3.0,36.0,0.0,14.0
Chennai Super Kings,Khaleel Ahmed,a2f46292,Bowler,Fast,Left-arm pace,Left-hand,False,1.0,2.0,1.0,50.0,37.0,778.0,41.0,9.69
Chennai Super Kings,Nathan Ellis,9eb1455b,Bowler,Fast,Right-arm pace,Right-hand,False,2.0,7.0,1.0,14.29,12.0,276.0,15.0,8.8
Chennai Super Kings,Gurjapneet Singh,6eb146d2,Bowler,Fast,Left-arm pace,Left-hand,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
