team_name,venue_name,match_year,matches,wins,losses,win_pct
Chennai Super Kings,"Arun Jaitley Stadium, Delhi",2023,1,1.0,0.0,100.0
Chennai Super Kings,"Arun Jaitley Stadium, Delhi",2025,1,0.0,1.0,0.0
Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",2025,1,0.0,1.0,0.0
Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,1,0.0,0.0,0.0
Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,1,0.0,1.0,0.0
Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,1,1.0,0.0,100.0
Chennai Super Kings,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2024,1,0.0,1.0,0.0
Chennai Super Kings,"Eden Gardens, Kolkata",2023,1,1.0,0.0,100.0
Chennai Super Kings,"Eden Gardens, Kolkata",2025,1,1.0,0.0,100.0
Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024,1,1.0,0.0,100.0
Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",2023,1,1.0,0.0,100.0
Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",2024,1,0.0,1.0,0.0
Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",2025,1,0.0,1.0,0.0
Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2023,8,5.0,3.0,62.5
Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2024,7,5.0,2.0,71.4
Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2025,6,1.0,5.0,16.7
Chennai Super Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,1,0.0,1.0,0.0
Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",2023,2,1.0,1.0,50.0
Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",2024,1,0.0,1.0,0.0
