team_name,venue_name,city,matches,wins,losses,no_results,win_pct,record
Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata,2,2.0,0.0,0.0,100.0,2-0
Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,3,2.0,1.0,0.0,66.7,2-1
Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,21,11.0,10.0,0.0,52.4,11-10
Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,3,1.0,1.0,1.0,50.0,1-1
Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,4,2.0,2.0,0.0,50.0,2-2
Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi,2,1.0,1.0,0.0,50.0,1-1
Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,3,1.0,2.0,0.0,33.3,1-2
Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,2,1.0,0.0,1.0,100.0,1-0
Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2,1.0,0.0,1.0,100.0,1-0
Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,4,3.0,1.0,0.0,75.0,3-1
Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,3,2.0,1.0,0.0,66.7,2-1
Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,3,2.0,1.0,0.0,66.7,2-1
Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,1.0,1.0,0.0,50.0,1-1
Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Jaipur,2,1.0,1.0,0.0,50.0,1-1
Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi,17,6.0,10.0,1.0,37.5,6-10
Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,3,1.0,2.0,0.0,33.3,1-2
Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,2,0.0,2.0,0.0,0.0,0-2
Gujarat Titans,"Eden Gardens, Kolkata",Kolkata,2,2.0,0.0,0.0,100.0,2-0
Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,3,2.0,1.0,0.0,66.7,2-1
Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",Jaipur,3,2.0,1.0,0.0,66.7,2-1
Gujarat Titans,"Arun Jaitley Stadium, Delhi",Delhi,3,2.0,1.0,0.0,66.7,2-1
Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,22,12.0,10.0,0.0,54.5,12-10
Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,2,1.0,1.0,0.0,50.0,1-1
